YEAR,WEEK,flu_season_year,flu_weekid,holiday_effect,date,ILI+,ILI_weight,pos,ILI_est,beta,S,I,R,gamma,xi,total_inf,ILI_growth_rate,diff_spike,status,ili_status,SIR,ILI*beta,SIR_new,I_gr,SIR_gr,ILI_est_gr,beta_gr,beta_diff2,mean_2,max_2,min_2,avg_2,ILI,ILI_diff,diff_mean_4,diff_std_4,diff_max_4,seq_diff2,diff_mean_4_est,diff_std_4_est,diff_max_4_est,seq_diff2_est,beta_lag1,ILI_lag1,beta_lag2,ILI_lag2,beta_lag3,ILI_lag3,sin_week,cos_week,beta_lag1_gr,ILI_lag1_gr,time_idx,time_sin,time_cos,decay_distance
2007,23,2007,32,0,2007-06-10,0.0914105389221555,0.763278,0.0119760479041916,0.47256287123844515,0.2469898950921245,91233.57262876695,34.59991589681825,8731.82745533615,0.2520417953196172,0.005216241325919292,49.88532638886633,-0.07735608843633479,0,1,0,779666.5652612784,0.02257747941869775,22533.77053245887,-5.864081506633312,-129700.01782584912,-0.08862726542073157,-6.403594861947859e-05,-8.788636669893046e-06,0.1300885831403229,0.1687666273584903,0.2469898950921245,0.24705393104074397,0.1300885831403229,-0.15308176757595893,-0.09091912407564194,0.13163191566632917,0.0334061629249921,0.15145135827924833,-0.0947208129872321,0.014141908662071644,-0.08464717941658029,0.022260728703652866,0.24705393104074397,0.1687666273584903,0.24710917835269355,0.3975740740740734,0.24513867608493908,0.3641679111490813,-0.663122658240795,-0.7485107481711013,-5.524731194958554e-05,-0.22880744671558312,244,0.9621666014088494,0.27246179756682287,2.384185791015625e-07
2007,24,2007,33,0,2007-06-17,0.1389648136036617,0.81722,0.0170045781556572,0.4407138951593629,0.24816273631799007,91471.37682608157,32.29711030196871,8496.326063616487,0.2520388164741081,0.00521476505044445,47.171879793732046,0.04755427468150619,0,1,0,733137.5299939909,0.03448588839580414,22699.787167934388,-2.302805594849545,-46529.035267287516,-0.03184897607908227,0.001172841225865584,0.0012368771744850626,0.1151876762629086,0.1389648136036617,0.2469898950921245,0.24816273631799007,0.1151876762629086,-0.0149009068774143,-0.08620308682347057,0.13839310784401387,0.04755427468150619,0.12491036311784098,-0.07712141187473276,0.040756350336764086,-0.03184897607908227,0.0567782893416493,0.2469898950921245,0.0914105389221555,0.24705393104074397,0.1687666273584903,0.24710917835269355,0.3975740740740734,-0.7485107481711011,-0.6631226582407952,-6.403594861947859e-05,-0.07735608843633479,245,0.9635989317138665,0.2673520128966591,1.1920928955078125e-07
2007,25,2007,34,0,2007-06-24,0.0470514461538457,0.764586,0.0061538461538461,0.38902486145852144,0.248353126074886,91721.5087263273,27.607271129380734,8250.884002543355,0.25203769700492445,0.005213507682046004,40.57233600842505,-0.091913367449816,0,1,0,628874.9578132736,0.01168537373865175,22779.32342048832,-4.689839172587973,-104262.57218071725,-0.051689033700841436,0.00019038975689592008,-0.000982451468969664,0.0930081298787537,0.1389648136036617,0.24816273631799007,0.248353126074886,0.0930081298787537,-0.022179546384154897,-0.040571727068214866,0.07666565548764745,0.04755427468150619,-0.13946764213132218,-0.057388425066885095,0.02881502787806576,-0.03184897607908227,-0.019840057621759166,0.24816273631799007,0.1389648136036617,0.2469898950921245,0.0914105389221555,0.24705393104074397,0.1687666273584903,-0.8229838658936564,-0.5680647467311559,0.001172841225865584,0.04755427468150619,246,0.9650041256569789,0.2622346992009443,5.960464477539063e-08
2007,26,2007,35,0,2007-07-01,0.0930900234741781,0.793127,0.0117370892018779,0.3740785310242902,0.2499796393409871,91948.83037055223,27.26254402675189,8023.907085421107,0.2520379806732889,0.005215567184034365,40.710256474931334,0.0460385773203324,0,1,0,626638.719780417,0.023270610494319062,22985.33545385625,-0.34472710262884476,-2236.238032856607,-0.01494633043423127,0.0016265132661011095,0.0014361235092051894,0.0700707348140119,0.0930900234741781,0.248353126074886,0.2499796393409871,0.0700707348140119,-0.02293739506474181,0.0005598281840075298,0.08008772232782518,0.04755427468150619,0.13795194477014838,-0.03282811340471833,0.018390910615752827,-0.01494633043423127,0.036742703266610166,0.248353126074886,0.0470514461538457,0.24816273631799007,0.1389648136036617,0.2469898950921245,0.0914105389221555,-0.8854560256532096,-0.4647231720437691,0.00019038975689592008,-0.091913367449816,247,0.9663821436658604,0.2571100005907518,2.9802322387695312e-08
2007,27,2007,36,0,2007-07-08,0.1074363960749324,0.66909,0.0160570918822479,0.37613306121153756,0.2513693797364778,92181.18412269307,27.484100728653686,7791.331776578376,0.25204153909054977,0.005215654133505664,41.633938159341895,0.014346372600754304,0,1,0,636848.5842016294,0.027006220242478316,23171.527076295413,0.22155670190179677,10209.864421212347,0.002054530187247383,0.001389740395490724,-0.00023677287061038554,0.10026320977455525,0.1074363960749324,0.2499796393409871,0.2513693797364778,0.10026320977455525,0.03019247496054335,-0.010509472509576434,0.07225679582963608,0.0460385773203324,-0.03169220471957809,-0.02152694464927511,0.027469456264166248,0.002054530187247383,0.017000860621478653,0.2499796393409871,0.0930900234741781,0.248353126074886,0.0470514461538457,0.24816273631799007,0.1389648136036617,-0.9350162426854147,-0.3546048870425359,0.0016265132661011095,0.0460385773203324,248,0.9677329469334988,0.25197806138512535,1.4901161193847656e-08
2007,28,2007,37,0,2007-07-15,0.1195518828451877,0.62115,0.0192468619246861,0.38235003298575976,0.2523727095191302,92411.25688599265,27.090952458765898,7561.652161548591,0.2520418134344867,0.005215581491151543,41.515627625388206,0.012115486770255299,0,1,0,631817.3412954252,0.03017163260175364,23322.079290386344,-0.3931482698877886,-5031.242906204192,0.006216971774222202,0.0010033297826523846,-0.00038641061283833933,0.11349413946006004,0.1195518828451877,0.2513693797364778,0.2523727095191302,0.11349413946006004,0.013230929685504794,0.024166812230447334,0.018974319328900542,0.0460385773203324,-0.002230885830499005,-0.002224942824253895,0.011211902472327246,0.006216971774222202,0.004162441586974819,0.2513693797364778,0.1074363960749324,0.2499796393409871,0.0930900234741781,0.248353126074886,0.0470514461538457,-0.970941817426052,-0.23931566428755774,0.001389740395490724,0.014346372600754304,249,0.9690564974192892,0.2468390261070139,7.450580596923828e-09
2007,29,2007,38,0,2007-07-22,0.0836962218370881,0.603659,0.0138648180242634,0.3751567429706727,0.2531856377087348,92626.65077539433,27.12735621973628,7346.221868385764,0.25204175131250933,0.00521754659550826,41.98597848003376,-0.0358556610080996,0,1,0,636183.6410783614,0.021190681299634886,23451.737645392488,0.03640376097038356,4366.299782936228,-0.0071932900150870616,0.0008129281896046003,-0.00019040159304778426,0.10162405234113789,0.1195518828451877,0.2523727095191302,0.2531856377087348,0.10162405234113789,-0.011870087118922151,-0.003131267212363333,0.02836209926748399,0.014346372600754304,-0.0479711477783549,0.00035940398212750785,0.006863954397298076,0.006216971774222202,-0.013410261789309263,0.2523727095191302,0.1195518828451877,0.2513693797364778,0.1074363960749324,0.2499796393409871,0.0930900234741781,-0.992708874098054,-0.12053668025532357,0.0010033297826523846,0.012115486770255299,250,0.970352757850105,0.24169303947920268,3.725290298461914e-09
2007,30,2007,39,0,2007-07-29,0.206138592274678,0.649058,0.0317596566523605,0.41097693669620733,0.2559114541422666,92816.42305798408,29.656613253439243,7153.920328762609,0.25204174067812135,0.0052189716840794435,46.96906334150753,0.12244237043758992,0,1,0,704427.1819563445,0.05275322690385266,23752.785793052513,2.5292570337029616,68243.54087798309,0.03582019372553463,0.0027258164335318136,0.0019128882439272132,0.14491740705588305,0.206138592274678,0.2531856377087348,0.2559114541422666,0.14491740705588305,0.04329335471474516,0.032900732066581874,0.08117010845381466,0.12244237043758992,0.15829803144568952,0.011614625161556591,0.022008883262419763,0.03582019372553463,0.043013483740621694,0.2531856377087348,0.0836962218370881,0.2523727095191302,0.1195518828451877,0.2513693797364778,0.1074363960749324,-1.0,-1.8369701987210297e-16,0.0008129281896046003,-0.0358556610080996,251,0.9716216917213477,0.23654024642023688,1.862645149230957e-09
2007,31,2007,40,0,2007-08-05,0.1120798027937547,0.568338,0.019720624486442,0.42054583123622963,0.2572683000856621,93010.12248821575,29.70198922736296,6960.175522556936,0.2520419841431943,0.005219969127653184,47.67404300730596,-0.09405878948092332,0,1,0,710725.7156066404,0.028834580338685512,23928.55610330248,0.045375973923718504,6298.533650295925,0.009568894540022299,0.0013568459433954683,-0.0013689704901363453,0.15910919753421635,0.206138592274678,0.2559114541422666,0.2572683000856621,0.15910919753421635,0.0141917904783333,-0.0024906933504776677,0.11204063486788464,0.12244237043758992,-0.21650115991851324,0.012731932750156624,0.02168048786191279,0.03582019372553463,-0.026251299185512333,0.2559114541422666,0.206138592274678,0.2531856377087348,0.0836962218370881,0.2523727095191302,0.1195518828451877,-0.992708874098054,0.1205366802553232,0.0027258164335318136,0.12244237043758992,252,0.9728632632979746,0.2313807920403414,9.313225746154785e-10
2007,32,2007,41,0,2007-08-12,0.1914655488331888,0.651546,0.0293863439930855,0.4445854115863326,0.2589507099230674,93190.11474777428,31.750202763738514,6778.135049462146,0.2520437643572494,0.005219317185208954,51.75119960451347,0.07938574603943412,0,1,0,766184.6653258422,0.04958013979616397,24131.646371748262,2.0482135363755525,55458.94971920177,0.02403958035010295,0.0016824098374053076,0.0003255638940098393,0.15177267581347176,0.1914655488331888,0.2572683000856621,0.2589507099230674,0.15177267581347176,-0.007336521720744588,0.035923108998700236,0.11460776010115498,0.12244237043758992,0.17344453552035743,0.023142889538553296,0.013148601372608452,0.03582019372553463,0.014470685810080652,0.2572683000856621,0.1120798027937547,0.2559114541422666,0.206138592274678,0.2531856377087348,0.0836962218370881,-0.9709418174260521,0.23931566428755738,0.0013568459433954683,-0.09405878948092332,253,0.9740774376155058,0.22621482163733306,4.656612873077393e-10
