date,ILI+,Influenza_Reported_Cases,Prefecture,Year,Week,holiday_effect,flu_season_year,flu_weekid,month,season,month_sin,month_cos,ILI_est,beta,gamma,xi,S,I,R,ILI_growth_rate,diff_spike,status,ili_status,SIR,ILI*beta,SIR_new,I_gr,SIR_gr,ILI_est_gr,beta_gr,beta_diff2,mean_2,max_2,min_2,avg_2,ILI,ILI_diff,diff_mean_4,diff_std_4,diff_max_4,seq_diff2,diff_mean_4_est,diff_std_4_est,diff_max_4_est,seq_diff2_est,beta_lag1,ILI_lag1,beta_lag2,ILI_lag2,beta_lag3,ILI_lag3,beta_lag1_gr,ILI_lag1_gr,time_idx,time_sin,time_cos,decay_distance
2015-09-20,3.42,25.0,Tokyo,2015,38,0,2015,47,9,0,-1.0,-1.8369701987210297e-16,2.8732656453503944,0.2893988859801964,0.24895778070969327,0.0054836851718155916,95594.18221699925,204.5280621386506,4201.2897208621025,0.9499999999999997,0,1,1,5658238.127088493,0.9897441900522718,27664.849839787486,68.59547990484492,2015348.1686407519,0.9710191211345196,0.009951957325860517,0.0007977974206629379,2.9450000000000003,3.42,0.2794469286543359,0.2893988859801964,2.9450000000000003,0.8500000000000005,0.7866666666666666,0.1484362938547488,0.9499999999999997,0.1999999999999995,0.6133364640838829,0.33081590349341367,0.9710191211345196,0.4203925960291943,0.2794469286543359,2.47,0.2702927687491383,1.72,0.2653146216005373,1.06,0.009154159905197579,0.7500000000000002,141,0.9744712472391577,0.2245123344143043,0.03125
2015-09-27,2.09,16.0,Tokyo,2015,39,0,2015,48,9,0,-1.0,-1.8369701987210297e-16,2.933893799744737,0.280863253604881,0.24892670365764602,0.005478475736187734,95463.84676711142,209.40569014519605,4326.7475427434,-1.33,0,1,1,5614645.38081726,0.5870042000342013,26812.286604648714,4.87762800654545,-43592.746271233074,0.06062815439434255,-0.008535632375315405,-0.01848758970117592,2.755,3.42,0.280863253604881,0.2893988859801964,2.755,-0.1900000000000004,0.1233333333333333,1.2625899307904105,0.9499999999999997,-2.28,0.5274246002113958,0.45563875501280154,0.9710191211345196,-0.910390966740177,0.2893988859801964,3.42,0.2794469286543359,2.47,0.2702927687491383,1.72,0.009951957325860517,0.9499999999999997,142,0.9765675186251448,0.215211248698407,0.015625
2015-10-04,3.03,28.0,Tokyo,2015,40,0,2015,49,10,0,-0.8660254037844386,0.5000000000000001,3.4296288836901065,0.28223450283247165,0.2489502927308642,0.005472900152507573,95205.55562564381,243.3345051489017,4551.109869207145,0.94,0,1,1,6538469.367357847,0.855170543582389,26870.292658892806,33.928815003705665,923823.9865405876,0.4957350839453696,0.0013712492275906318,0.009906881602906037,2.5599999999999996,3.03,0.280863253604881,0.28223450283247165,2.5599999999999996,-0.19500000000000028,0.18666666666666654,1.313481379134601,0.9499999999999997,2.27,0.5091274531580773,0.4553432164262198,0.9710191211345196,0.43510692955102703,0.280863253604881,2.09,0.2893988859801964,3.42,0.2794469286543359,2.47,-0.008535632375315405,-1.33,143,0.97857501558107,0.2058905993009603,0.0078125
2015-10-11,3.98,36.0,Tokyo,2015,41,0,2015,50,10,0,-0.8660254037844386,0.5000000000000001,4.237613153913602,0.28666227828084573,0.2489887448991498,0.005469259738074021,94837.81763228684,301.9370485776739,4860.245319135445,0.9500000000000002,0,1,1,8208588.886522216,1.140915867557766,27186.424869654707,58.60254342877221,1670119.5191643685,0.8079842702234958,0.004427775448374083,0.003056526220783451,3.505,3.98,0.28223450283247165,0.28666227828084573,3.505,0.9450000000000003,0.18666666666666668,1.313481379134601,0.9500000000000002,0.010000000000000231,0.45478250285440264,0.3753573316059225,0.8079842702234958,0.31224918627812626,0.28223450283247165,3.03,0.280863253604881,2.09,0.2893988859801964,3.42,0.0013712492275906318,0.94,144,0.9804935556163278,0.19655123351139567,0.00390625
2015-10-18,3.63,32.0,Tokyo,2015,42,0,2015,51,10,0,-0.8660254037844386,0.5000000000000001,4.419882367179257,0.2767620562940932,0.24896089392953022,0.005474024724635983,94527.3057963278,315.7516831911681,5156.942520481051,-0.3500000000000001,0,1,1,8260560.244933893,1.0046462643475582,26161.571528132234,13.814634613494206,51971.35841167718,0.1822692132656547,-0.009900221986752555,-0.014327997435126638,3.8049999999999997,3.98,0.2767620562940932,0.28666227828084573,3.8049999999999997,0.2999999999999998,0.5133333333333333,0.7476853170507851,0.9500000000000002,-1.3000000000000003,0.49532952247817336,0.31285772562942404,0.8079842702234958,-0.6257150569578411,0.28666227828084573,3.98,0.28223450283247165,3.03,0.280863253604881,2.09,0.004427775448374083,0.9500000000000002,145,0.9823229643269008,0.18719400032055064,0.001953125
2015-10-25,3.84,49.0,Tokyo,2015,43,0,2015,52,10,0,-0.8660254037844386,0.5000000000000001,4.470865479138071,0.2715388925166268,0.2489112578452582,0.005481352967583055,94191.83117843064,319.64009671837783,5488.528724851,0.20999999999999996,0,1,1,8175353.41249063,1.0427093472638467,25576.745522304132,3.888413527209707,-85206.83244326338,0.05098311195881422,-0.0052231637774664,0.004677058209286156,3.7349999999999994,3.84,0.2715388925166268,0.2767620562940932,3.7349999999999994,-0.07000000000000028,0.27,0.652073615476044,0.9500000000000002,0.56,0.34707886514932157,0.4045174340112285,0.8079842702234958,-0.13128610130684049,0.2767620562940932,3.63,0.28666227828084573,3.98,0.28223450283247165,3.03,-0.009900221986752555,-0.3500000000000001,146,0.9840630754112152,0.1778197503434899,0.0009765625
2015-11-01,3.57,59.0,Tokyo,2015,44,0,2016,1,11,0,-0.5000000000000004,0.8660254037844384,4.248564526184354,0.265265800768798,0.24886542585286517,0.005487275184897315,93914.31089906911,304.3422303090157,5781.346870621767,-0.27,0,1,1,7581851.213511921,0.9469989087446089,24912.254884291422,-15.297866409362143,-593502.1989787081,-0.22230095295371743,-0.006273091747828752,-0.001049927970362352,3.7049999999999996,3.84,0.265265800768798,0.2715388925166268,3.7049999999999996,-0.029999999999999805,-0.13666666666666671,0.302875111776014,0.20999999999999996,-0.48,0.0036504574235838305,0.20639656001907075,0.1822692132656547,-0.27328406491253165,0.2715388925166268,3.84,0.2767620562940932,3.63,0.28666227828084573,3.98,-0.0052231637774664,0.20999999999999996,147,0.9857137306852569,0.1684293357421821,0.00048828125
2015-11-08,3.52,77.0,Tokyo,2015,45,0,2016,2,11,0,-0.5000000000000004,0.8660254037844384,4.023352692834255,0.2631497610451642,0.24887944459056932,0.005486140709811321,93661.55349661631,289.31566689970884,6049.130836483953,-0.04999999999999982,0,1,1,7130767.703832007,0.926287158878978,24647.015421753444,-15.026563409306846,-451083.50967991445,-0.22521183335009898,-0.0021160397236338335,0.004157052024194918,3.545,3.57,0.2631497610451642,0.265265800768798,3.545,-0.1599999999999997,-0.036666666666666625,0.24027761721253382,0.20999999999999996,0.2200000000000002,-0.13217655811500073,0.15862760435161266,0.05098311195881422,-0.0029108803963815433,0.265265800768798,3.57,0.2715388925166268,3.84,0.2767620562940932,3.63,-0.006273091747828752,-0.27,148,0.9872747800969527,0.15902361014803354,0.000244140625
2015-11-15,3.1,61.0,Tokyo,2015,46,0,2016,3,11,0,-0.5000000000000004,0.8660254037844384,3.722804129967266,0.2588187856013239,0.2489450348800482,0.005481572356915923,93464.47657154017,267.8231744664115,6267.700253993467,-0.41999999999999993,0,1,1,6478739.62886784,0.8023382353641041,24190.362323109413,-21.492492433297343,-652028.0749641666,-0.30054856286698906,-0.0043309754438403125,-0.002214935720206479,3.3099999999999996,3.52,0.2588187856013239,0.2631497610451642,3.3099999999999996,-0.23500000000000032,-0.2466666666666666,0.18610033136277054,-0.04999999999999982,-0.3700000000000001,-0.24935378305693515,0.044359862669085794,-0.22230095295371743,-0.07533672951689008,0.2631497610451642,3.52,0.265265800768798,3.57,0.2715388925166268,3.84,-0.0021160397236338335,-0.04999999999999982,149,0.9887460817398092,0.14960342858428963,0.0001220703125
2015-11-22,3.35,99.0,Tokyo,2015,47,0,2016,4,11,0,-0.5000000000000004,0.8660254037844384,3.6952599981300422,0.2611409793485523,0.24889330676515312,0.0054886531761355675,93253.25263887663,266.2536558789574,6480.493705244504,0.25,0,1,1,6483874.4522265075,0.8748222808176502,24352.245721554213,-1.5695185874541266,5134.823358667083,-0.027544131837223595,0.002322193747228418,0.006653169191068731,3.2249999999999996,3.35,0.2588187856013239,0.2611409793485523,3.2249999999999996,-0.08499999999999996,-0.07333333333333325,0.3356088993655158,0.25,0.6699999999999999,-0.18443484268477053,0.1409961952190959,-0.027544131837223595,0.27300443102976546,0.2588187856013239,3.1,0.2631497610451642,3.52,0.265265800768798,3.57,-0.0043309754438403125,-0.41999999999999993,150,0.9901275018658139,0.14016964738830856,6.103515625e-05
