Year,,date,ILI+,Influenza_Reported_Cases,Prefecture,flu_season_year,flu_weekid,holiday_effect,month,season,month_sin,month_cos,ILI_est,beta,gamma,xi,S,I,R,ILI_growth_rate,diff_spike,status,ili_status,SIR,ILI*beta,SIR_new,I_gr,SIR_gr,ILI_est_gr,beta_gr,beta_diff2,mean_2,max_2,min_2,avg_2,ILI,ILI_diff,diff_mean_4,diff_std_4,diff_max_4,seq_diff2,diff_mean_4_est,diff_std_4_est,diff_max_4_est,seq_diff2_est,beta_lag1,ILI_lag1,beta_lag2,ILI_lag2,beta_lag3,ILI_lag3,beta_lag1_gr,ILI_lag1_gr,time_idx,time_sin,time_cos,decay_distance
2020,2,2020-01-19,0.31,4876.0,Tokyo,2020,3,0,1,1,0.49999999999999994,0.8660254037844387,0.5971326952684549,0.2537344294779522,0.2492875803398346,0.005512964960290491,93385.49983298579,43.152367653948,6571.3477993603165,-0.10999999999999999,0,1,0,1022500.3797447764,0.07865767313816519,23695.116521636053,-0.3702815008046727,-3150.152801308548,0.00019698723134309315,0.0009250527228128469,-0.0005278210260092897,0.36499999999999994,0.42,0.25280937675513937,0.2537344294779522,0.36499999999999994,0.09000000000000002,-0.12333333333333328,0.4201587001756991,0.29,-0.39999999999999997,-0.043852249827797195,0.08462260234870621,0.009659436583709269,-0.009462449352366176,0.25280937675513937,0.42,0.25135650300631723,0.13,0.2538664191774536,0.68,0.0014528737488221366,0.29,367,-0.34997170078373807,-0.936760272775558,0.0
2020,3,2020-01-26,0.44,5586.0,Tokyo,2020,4,0,1,1,0.49999999999999994,0.8660254037844387,0.6305746430952346,0.25566396597819147,0.24927473761624377,0.005508915622205933,93528.89833600649,44.48413041417873,6426.617533579371,0.13,0,1,0,1063703.1511103702,0.11249214503040425,23911.96908215449,1.3317627602307311,41202.77136559377,0.03344194782677967,0.0019295365002392484,0.0010044837774264015,0.37499999999999994,0.44,0.2537344294779522,0.25566396597819147,0.37499999999999994,0.010000000000000009,0.1033333333333334,0.20132891827388555,0.29,0.24,0.014432790547277344,0.017128792493660432,0.03344194782677967,0.03324496059543658,0.2537344294779522,0.31,0.25280937675513937,0.42,0.25135650300631723,0.13,0.0009250527228128469,-0.10999999999999999,368,-0.3588871279272551,-0.9333809669197921,0.0
2020,4,2020-02-02,0.61,4651.0,Tokyo,2020,5,0,2,1,0.8660254037844386,0.5000000000000001,0.6817505554131,0.2581847437282179,0.24929667081786622,0.005500550825238634,93647.65842923035,49.12969932601892,6303.211871443566,0.16999999999999998,0,1,0,1187877.359677837,0.15749269367421292,24178.396692298524,4.6455689118401935,124174.20856746682,0.051175912317865446,0.0025207777500264594,0.000591241249787211,0.5249999999999999,0.61,0.25566396597819147,0.2581847437282179,0.5249999999999999,0.14999999999999997,0.06333333333333341,0.15143755588800592,0.16999999999999998,0.03999999999999998,0.02827161579199607,0.025879759480208937,0.051175912317865446,0.017733964491085774,0.25566396597819147,0.44,0.2537344294779522,0.31,0.25280937675513937,0.42,0.0019295365002392484,0.13,369,-0.367769930598188,-0.9299168124879794,0.0
2020,5,2020-02-09,0.49,2818.0,Tokyo,2020,6,0,2,1,0.8660254037844386,0.5000000000000001,0.7209912828144257,0.2597382788728765,0.24932267674657346,0.0054963897243382204,93770.42466291755,51.9113561042802,6177.6639809781655,-0.12,0,1,0,1264340.982756692,0.12727175664770948,24355.768711124932,2.7816567782612793,76463.62307885499,0.03924072740132567,0.0015535351446585577,-0.0009672426053679017,0.55,0.61,0.2581847437282179,0.2597382788728765,0.55,0.025000000000000133,0.060000000000000074,0.1571623364550158,0.16999999999999998,-0.29,0.04128619584865693,0.009042197189636298,0.051175912317865446,-0.011935184916539776,0.2581847437282179,0.61,0.25566396597819147,0.44,0.2537344294779522,0.31,0.0025207777500264594,0.16999999999999998,370,-0.37661930130936316,-0.9263681243875175,0.0
2020,6,2020-02-16,0.54,2479.0,Tokyo,2020,7,0,2,1,0.8660254037844386,0.5000000000000001,0.7665651927592947,0.261035176818306,0.24932087137250936,0.005492105875624437,93882.1681369487,55.13474010151977,6062.697122949701,0.050000000000000044,0,1,0,1351162.1745981758,0.14095899548188526,24506.54835971434,3.2233839972395657,86821.19184148381,0.045573909944868984,0.0012968979454295315,-0.00025663719922902617,0.5149999999999999,0.54,0.2597382788728765,0.261035176818306,0.5149999999999999,-0.03500000000000014,0.033333333333333416,0.14571661996262794,0.16999999999999998,0.17000000000000004,0.04533018322135337,0.005971324122968126,0.051175912317865446,0.006333182543543314,0.2597382788728765,0.49,0.2581847437282179,0.61,0.25566396597819147,0.44,0.0015535351446585577,-0.12,371,-0.38543443561272667,-0.9227352252102977,0.0
2020,7,2020-02-23,0.46,2077.0,Tokyo,2020,8,0,2,1,0.8660254037844386,0.5000000000000001,0.7890414061509813,0.26163713122019117,0.2493086265770169,0.005493789226931748,94000.0258071708,57.38914360239543,5942.585049226914,-0.08000000000000002,0,1,0,1411422.6916575942,0.12035308036128795,24593.8970868121,2.254403500875661,60260.51705941837,0.022476213391686595,0.0006019544018851519,-0.0006949435435443796,0.5,0.54,0.261035176818306,0.26163713122019117,0.5,-0.014999999999999902,-0.04999999999999991,0.08888194417315404,0.050000000000000044,-0.13000000000000006,0.03576361691262708,0.011934974634468538,0.045573909944868984,-0.02309769655318239,0.261035176818306,0.54,0.2597382788728765,0.49,0.2581847437282179,0.61,0.0012968979454295315,0.050000000000000044,372,-0.39421453217246727,-0.9190184452033826,0.0
2020,8,2020-03-01,0.55,1484.0,Tokyo,2020,9,0,3,2,1.0,6.123233995736766e-17,0.841211861150327,0.2623657308925386,0.24931279364773037,0.005493114915886224,94104.34751844038,60.54449751602692,5835.107984043545,0.09000000000000002,0,1,0,1494828.8657784949,0.14430115199089624,24689.755916841063,3.155353913631494,83406.17412090069,0.052170454999345695,0.0007285996723474519,0.0001266452704623,0.505,0.55,0.26163713122019117,0.2623657308925386,0.505,0.0050000000000000044,0.02000000000000009,0.08888194417315376,0.09000000000000002,0.17000000000000004,0.040073526111967094,0.015592551519625231,0.052170454999345695,0.0296942416076591,0.26163713122019117,0.46,0.261035176818306,0.54,0.2597382788728765,0.49,0.0006019544018851519,-0.08000000000000002,373,-0.4029587928378659,-0.9152181222389829,0.0
2020,9,2020-03-08,0.47,968.0,Tokyo,2020,10,0,3,2,1.0,6.123233995736766e-17,0.8415922687792655,0.26255042044816146,0.24931580852462995,0.00549203712854757,94219.24646654447,60.67381973887973,5720.079713716611,-0.08000000000000007,0,1,0,1500906.6493418452,0.12339869761063588,24737.3027741002,0.1293222228528066,6077.783563350327,0.0003804076289385394,0.00018468955562284117,-0.0005439101167246108,0.51,0.55,0.2623657308925386,0.26255042044816146,0.51,0.0050000000000000044,-0.02333333333333328,0.09814954576223461,0.09000000000000002,-0.1700000000000001,0.025009025339990276,0.025987758732296883,0.052170454999345695,-0.051790047370407155,0.2623657308925386,0.55,0.26163713122019117,0.46,0.261035176818306,0.54,0.0007285996723474519,0.09000000000000002,374,-0.4116664227158481,-0.9113346017837448,0.0
2020,10,2020-03-15,0.42,372.0,Tokyo,2020,11,0,3,2,1.0,6.123233995736766e-17,0.8319810486610939,0.262258254974127,0.24932275970073806,0.005491662383240754,94330.497201963,59.994546437651294,5609.50825159933,-0.04999999999999999,0,1,0,1484202.1798067936,0.11014846708913335,24738.951587028587,-0.6792733012284344,-16704.469535051612,-0.009611220118171615,-0.0002921654740344337,-0.0004768550296572749,0.44499999999999995,0.47,0.262258254974127,0.26255042044816146,0.44499999999999995,-0.06500000000000006,-0.013333333333333272,0.09073771725877272,0.09000000000000002,0.030000000000000082,0.014313214170037539,0.03316377796123497,0.052170454999345695,-0.009991627747110154,0.26255042044816146,0.47,0.2623657308925386,0.55,0.26163713122019117,0.46,0.00018468955562284117,-0.08000000000000007,375,-0.4203366302432442,-0.9073682368673449,0.0
2020,11,2020-03-22,0.14,144.0,Tokyo,2020,12,0,3,2,1.0,6.123233995736766e-17,0.6969855470250316,0.2585832157763198,0.24931943144985716,0.005488290823445611,94494.53820430803,50.13179311464569,5455.330002577284,-0.27999999999999997,0,1,0,1224955.4035327302,0.03620165020868478,24434.70156216828,-9.862753323005606,-259246.7762740634,-0.13499550163606233,-0.003675039197807206,-0.0033828737237727724,0.28,0.42,0.2585832157763198,0.262258254974127,0.28,-0.16499999999999992,-0.1366666666666666,0.12503332889007257,-0.04999999999999999,-0.22999999999999998,-0.04807543804176514,0.07544058090764806,0.0003804076289385394,-0.12538428151789072,0.262258254974127,0.42,0.26255042044816146,0.47,0.2623657308925386,0.55,-0.0002921654740344337,-0.04999999999999999,376,-0.428968627258749,-0.9033193880503974,0.0
