date,week_ahead,point,mode,true,q_1,q_2,q_5,q_10,q_15,q_20,q_25,q_30,q_35,q_40,q_45,q_55,q_60,q_65,q_70,q_75,q_80,q_85,q_90,q_95,q_97,q_99
2020-11-08,1,0.02,train,0.0,7.136768682471026e-54,2.1164456092046366e-43,1.7678650217328944e-35,1.476695985700836e-27,6.357283744904533e-23,1.233482764451931e-19,4.3792182066135026e-17,5.310233117718296e-15,3.06811199631289e-13,1.0303269900922869e-11,2.2860940248951523e-10,4.4928280826605365e-08,4.43563629780894e-07,3.6454465098704732e-06,2.562910629396114e-05,0.00015752286731711995,0.0008619821993135058,0.004276202551840054,0.019789997630341206,0.0932467515034474,0.22902169860286678,0.48110324027341556
2020-11-15,1,0.0,train,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8752073592643147e-276,3.222565370625257e-241,1.0722081217115942e-210,8.967251038931394e-184,6.624801413574586e-138,5.127304639600894e-118,1.0132917843706969e-99,8.811331874628746e-83,5.1899016283619393e-67,2.9316958734770645e-52,2.1108388821255076e-38,2.4518796616933596e-25,5.597197750728651e-13,4.845570846800484e-07,0.0015008996937648446
2020-11-22,1,0.0,train,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8752073592643147e-276,3.222565370625257e-241,1.0722081217115942e-210,8.967251038931394e-184,6.624801413574586e-138,5.127304639600894e-118,1.0132917843706969e-99,8.811331874628746e-83,5.1899016283619393e-67,2.9316958734770645e-52,2.1108388821255076e-38,2.4518796616933596e-25,5.597197750728651e-13,4.845570846800484e-07,0.0015008996937648446
2020-11-29,1,0.02,train,0.06,7.136768682471026e-54,2.1164456092046366e-43,1.7678650217328944e-35,1.476695985700836e-27,6.357283744904533e-23,1.233482764451931e-19,4.3792182066135026e-17,5.310233117718296e-15,3.06811199631289e-13,1.0303269900922869e-11,2.2860940248951523e-10,4.4928280826605365e-08,4.43563629780894e-07,3.6454465098704732e-06,2.562910629396114e-05,0.00015752286731711995,0.0008619821993135058,0.004276202551840054,0.019789997630341206,0.0932467515034474,0.22902169860286678,0.48110324027341556
2020-12-06,1,0.01,train,0.0,1.6417129404675996e-106,1.4438038786645656e-85,1.0073773606516126e-69,7.028718801420927e-54,1.302678279015021e-44,4.904109415114461e-38,6.181404323123238e-33,9.089105701157468e-29,3.0341454621085583e-25,3.421717361996706e-22,1.6845432157814933e-19,6.506291404465213e-15,6.341691864961014e-13,4.283410297041619e-11,2.1169976785762795e-09,7.993412055685029e-08,2.3874266567212726e-06,5.803747059645199e-05,0.0011779161033619308,0.021027526771537887,0.09379420566721604,0.2812921787464681
2020-12-13,1,0.06,train,0.02,9.259731122633183e-19,2.866158520888501e-15,1.2528936370868116e-12,5.476816637542615e-10,1.9195011736114278e-08,2.3941004817941414e-07,1.6952403445779118e-06,8.390899968874817e-06,3.243984669166509e-05,0.00010467266218187806,0.00029422472548916293,0.001714745179258377,0.003690882699136192,0.007496366420017994,0.01453141154781448,0.02718357449433706,0.04968733269333258,0.0902533650885255,0.16780594378550479,0.34487009350685816,0.5623326307693957,0.8904528807780233
2020-12-20,1,0.0,train,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8752073592643147e-276,3.222565370625257e-241,1.0722081217115942e-210,8.967251038931394e-184,6.624801413574586e-138,5.127304639600894e-118,1.0132917843706969e-99,8.811331874628746e-83,5.1899016283619393e-67,2.9316958734770645e-52,2.1108388821255076e-38,2.4518796616933596e-25,5.597197750728651e-13,4.845570846800484e-07,0.0015008996937648446
2020-12-27,1,0.02,train,0.05,7.136768682471026e-54,2.1164456092046366e-43,1.7678650217328944e-35,1.476695985700836e-27,6.357283744904533e-23,1.233482764451931e-19,4.3792182066135026e-17,5.310233117718296e-15,3.06811199631289e-13,1.0303269900922869e-11,2.2860940248951523e-10,4.4928280826605365e-08,4.43563629780894e-07,3.6454465098704732e-06,2.562910629396114e-05,0.00015752286731711995,0.0008619821993135058,0.004276202551840054,0.019789997630341206,0.0932467515034474,0.22902169860286678,0.48110324027341556
2021-01-03,1,0.04,train,0.04,1.521236128104336e-27,2.619686829500836e-22,2.39425483029565e-18,2.1882219385309323e-14,4.54026935602434e-12,1.9999188028610254e-10,3.768288252176486e-09,4.1495657061027886e-08,3.154145080479594e-07,1.8278255879570956e-06,8.609926225925147e-06,0.00012072515054575649,0.00037950101867067815,0.0010893062552977408,0.002897404311242208,0.007236974721531264,0.017214180283821035,0.03972663438000443,0.09191314113602156,0.23228622992036932,0.42247670815782473,0.7251379662789479
2021-01-10,1,0.05,train,0.01,2.8290640516715815e-22,4.370035618942969e-18,6.444982957162216e-15,9.50514113403013e-12,6.785014354820753e-10,1.4018300864460668e-08,1.4682529303277377e-07,1.00066409368259e-06,5.069841872487803e-06,2.067510162213293e-05,7.143865833063434e-05,0.000591143381852539,0.0014795587629277435,0.0034476303170426297,0.007575046438345957,0.01588376250299736,0.03220970239342541,0.06430650663776724,0.1304167952389417,0.29133687304411465,0.496871332050434,0.8137967098112953
2021-01-17,1,0.04,train,0.09,1.521236128104336e-27,2.619686829500836e-22,2.39425483029565e-18,2.1882219385309323e-14,4.54026935602434e-12,1.9999188028610254e-10,3.768288252176486e-09,4.1495657061027886e-08,3.154145080479594e-07,1.8278255879570956e-06,8.609926225925147e-06,0.00012072515054575649,0.00037950101867067815,0.0010893062552977408,0.002897404311242208,0.007236974721531264,0.017214180283821035,0.03972663438000443,0.09191314113602156,0.23228622992036932,0.42247670815782473,0.7251379662789479
2021-01-24,1,0.01,train,0.13,1.6417129404675996e-106,1.4438038786645656e-85,1.0073773606516126e-69,7.028718801420927e-54,1.302678279015021e-44,4.904109415114461e-38,6.181404323123238e-33,9.089105701157468e-29,3.0341454621085583e-25,3.421717361996706e-22,1.6845432157814933e-19,6.506291404465213e-15,6.341691864961014e-13,4.283410297041619e-11,2.1169976785762795e-09,7.993412055685029e-08,2.3874266567212726e-06,5.803747059645199e-05,0.0011779161033619308,0.021027526771537887,0.09379420566721604,0.2812921787464681
2021-01-31,1,0.09,train,0.12,6.800014706363279e-13,1.4442567490653793e-10,8.318667060226173e-09,4.791410760578394e-07,5.131450061169756e-06,2.759889711858557e-05,0.00010178151215672113,0.0002957010775155496,0.0007288830517121606,0.0015936654238035426,0.0031815943733259555,0.010407102936597083,0.017508044132816876,0.028448409261325604,0.045038165203764344,0.07008377280547391,0.10829042832319906,0.16853405421030646,0.27104231933918005,0.4821531379100801,0.7247689879808972,1.0769470728874622
2021-02-07,1,0.13,train,0.11,2.8439868164232914e-09,1.1615042569737973e-07,1.9220598850271955e-06,3.180764254887868e-05,0.0001642625747362059,0.0005267465533448125,0.0013015442964386431,0.002728775205318139,0.005111752305927329,0.0088264406490203,0.014337577871175518,0.03323031232980127,0.048326077636857895,0.06884811485977059,0.09672407229522827,0.13492373903857394,0.18842891460468875,0.2666547752901529,0.39104782924585835,0.6315957249430455,0.8962714410579485,1.270173486887468
2021-02-14,1,0.12,train,0.04,5.937746316484191e-10,3.3034867999785445e-08,6.906849826548805e-07,1.4440964211679254e-05,8.550149617818335e-05,0.00030206137012814114,0.000804404233129529,0.0017923362262924267,0.003533507861679264,0.00637451244239715,0.010757444999306922,0.026568593435767993,0.039689078179063086,0.05793161108546749,0.08320622197363994,0.11845079290987529,0.16858630270366007,0.242905750894455,0.3625803449138371,0.596779948438534,0.8566614617047459,1.2257889355836649
2021-02-21,1,0.11,train,0.16,9.344333727959645e-11,7.491478300725344e-09,2.0649168507614653e-07,5.6916894453829044e-06,3.961011535789788e-05,0.00015692012887129814,0.00045663178772308184,0.0010935924697432905,0.0022907939270843136,0.004353666704921276,0.007688760333845454,0.02048498150561932,0.03159667921871631,0.04747222261449795,0.06999954284099312,0.10208132188193784,0.1485741303387594,0.2186420455367882,0.3331639309720701,0.5604365984902051,0.8151115873792499,1.1790876606291194
2021-02-28,1,0.04,train,0.33,1.521236128104336e-27,2.619686829500836e-22,2.39425483029565e-18,2.1882219385309323e-14,4.54026935602434e-12,1.9999188028610254e-10,3.768288252176486e-09,4.1495657061027886e-08,3.154145080479594e-07,1.8278255879570956e-06,8.609926225925147e-06,0.00012072515054575649,0.00037950101867067815,0.0010893062552977408,0.002897404311242208,0.007236974721531264,0.017214180283821035,0.03972663438000443,0.09191314113602156,0.23228622992036932,0.42247670815782473,0.7251379662789479
2021-03-07,1,0.16,train,0.17,9.734173231719956e-08,1.9829576643186636e-06,1.9388965140046382e-05,0.00018962336764834692,0.000720232614702339,0.0018585329233677067,0.0038835018131339505,0.007107342357699628,0.011882565985088592,0.018615052451843663,0.027784929393720056,0.05594055094958806,0.07665147124931891,0.10346714816921597,0.13835999005461377,0.18438860710903446,0.24670488871564464,0.335060174752721,0.4716466630600368,0.7286482405178445,1.0058575741154088,1.392381671275282
2021-03-14,1,0.33,train,0.25,0.00028710878235892233,0.0012393620502902949,0.0037546825084253162,0.011442948443832864,0.022116327399264057,0.035533635704665466,0.051660317189799035,0.07058416868586018,0.09249327782138421,0.11767743388379616,0.14654495659110056,0.2177758265723665,0.26197004888064396,0.3137558532485953,0.37538187313420934,0.45036396337363077,0.5446313077706032,0.6693621110512383,0.8497888350958377,1.1669267644700858,1.4912769433333968,1.926877954203728
2021-03-21,1,0.17,train,0.3,2.401763093222436e-07,4.0977453572869424e-06,3.503850283679654e-05,0.00029970283942670333,0.0010527645659347761,0.0025708557135095357,0.005148747606722731,0.009105097189220857,0.014792696555313137,0.02261405299773378,0.03304433148820014,0.06421795247841006,0.08668392144776864,0.11542487407555271,0.15242795703048123,0.20078062938633479,0.2656885408495113,0.35700688143103937,0.49715481686730945,0.758980333233565,1.0398948636196073,1.4301881593914927
2021-03-28,1,0.25,train,0.15,2.5201478397621534e-05,0.00017349092690341082,0.0007470375292699986,0.003224509040505382,0.007613982008628652,0.014067048975011895,0.022750935175899212,0.03386712832566927,0.047667361663549464,0.0644723440550458,0.0846969882103461,0.13777391339513007,0.17236435704156466,0.21408721886394086,0.2650580704819633,0.3285880278210738,0.4102729113670427,0.5206936141271571,0.6838245239028423,0.9770351520411292,1.2823921176573665,1.6979483568685803
2021-04-04,1,0.3,train,0.25,0.00013365078624832173,0.0006674059057191376,0.0022560063791325683,0.007660795370694448,0.01575439933239783,0.02643037862433989,0.03971363213424746,0.05572051967930817,0.074651660273169,0.09679954690969447,0.12256812541863538,0.18736508653181683,0.22818356234703416,0.27644548138978403,0.33435006652096294,0.4053388596455803,0.49522158766828084,0.6149638392067853,0.7893514822512193,1.098105550156627,1.4157688340624441,1.8442766915553945
