Region,RSV_PC,Week,Year
Chiba,3.08,12,2015
Tokyo,4.13,12,2015
Kanagawa,3.75,12,2015
Niigata,6.49,12,2015
Toyama,4.0,12,2015
Ishikawa,4.0,12,2015
Fukui,8.5,12,2015
Yamanashi,3.88,12,2015
Nagano,6.06,12,2015
Gifu,4.58,12,2015
Shizuoka,5.59,12,2015
Aichi,4.12,12,2015
Mie,5.89,12,2015
Shiga,6.63,12,2015
Kyoto,3.03,12,2015
Osaka,11.82,12,2015
Hyogo,10.03,12,2015
Nara,9.94,12,2015
Wakayama,16.71,12,2015
Tottori,2.95,12,2015
Shimane,7.3,12,2015
Okayama,4.17,12,2015
Hiroshima,5.32,12,2015
Yamaguchi,11.13,12,2015
Tokushima,16.96,12,2015
Kagawa,10.86,12,2015
Ehime,14.03,12,2015
Kochi,10.8,12,2015
Fukuoka,12.88,12,2015
Saga,15.61,12,2015
Nagasaki,10.14,12,2015
Kumamoto,11.62,12,2015
Oita,9.47,12,2015
Miyazaki,25.25,12,2015
Kagoshima,8.96,12,2015
Okinawa,7.91,12,2015
Total No.,7.52,13,2015
Hokkaido,10.37,13,2015
Aomori,5.55,13,2015
Iwate,5.45,13,2015
Miyagi,5.17,13,2015
Akita,2.86,13,2015
Yamagata,3.48,13,2015
Fukushima,12.69,13,2015
Ibaraki,5.0,13,2015
Tochigi,5.25,13,2015
Gunma,7.05,13,2015
Saitama,5.45,13,2015
Chiba,3.3,13,2015
Tokyo,4.3,13,2015
Kanagawa,3.85,13,2015
Niigata,6.66,13,2015
Toyama,4.1,13,2015
Ishikawa,4.31,13,2015
Fukui,8.73,13,2015
Yamanashi,3.88,13,2015
Nagano,6.21,13,2015
Gifu,4.67,13,2015
Shizuoka,5.84,13,2015
Aichi,4.3,13,2015
Mie,5.91,13,2015
Shiga,6.75,13,2015
Kyoto,3.08,13,2015
Osaka,12.25,13,2015
Hyogo,10.2,13,2015
Nara,10.06,13,2015
Wakayama,17.39,13,2015
Tottori,2.95,13,2015
Shimane,7.52,13,2015
Okayama,4.31,13,2015
Hiroshima,5.56,13,2015
Yamaguchi,11.79,13,2015
Tokushima,17.35,13,2015
Kagawa,11.07,13,2015
Ehime,14.81,13,2015
Kochi,11.03,13,2015
Fukuoka,13.63,13,2015
Saga,16.17,13,2015
Nagasaki,11.07,13,2015
Kumamoto,12.0,13,2015
Oita,10.0,13,2015
Miyazaki,26.92,13,2015
Kagoshima,9.78,13,2015
Okinawa,9.12,13,2015
Total No.,7.77,14,2015
Hokkaido,10.78,14,2015
Aomori,5.74,14,2015
Iwate,5.63,14,2015
Miyagi,5.24,14,2015
Akita,2.91,14,2015
Yamagata,3.62,14,2015
Fukushima,13.07,14,2015
Ibaraki,5.12,14,2015
Tochigi,5.48,14,2015
Gunma,7.02,14,2015
Saitama,5.57,14,2015
Chiba,3.44,14,2015
Tokyo,4.44,14,2015
Kanagawa,3.94,14,2015
Niigata,6.97,14,2015
Toyama,4.24,14,2015
Ishikawa,4.48,14,2015
Fukui,9.0,14,2015
Yamanashi,3.96,14,2015
Nagano,6.23,14,2015
Gifu,4.81,14,2015
Shizuoka,5.93,14,2015
Aichi,4.38,14,2015
Mie,5.96,14,2015
Shiga,6.81,14,2015
Kyoto,3.16,14,2015
Osaka,12.67,14,2015
Hyogo,10.38,14,2015
Nara,10.32,14,2015
Wakayama,17.84,14,2015
Tottori,2.95,14,2015
Shimane,7.83,14,2015
Okayama,4.39,14,2015
Hiroshima,5.65,14,2015
Yamaguchi,12.42,14,2015
Tokushima,17.57,14,2015
Kagawa,11.36,14,2015
Ehime,15.11,14,2015
Kochi,11.3,14,2015
Fukuoka,14.28,14,2015
Saga,16.57,14,2015
Nagasaki,11.59,14,2015
Kumamoto,12.16,14,2015
Oita,10.47,14,2015
Miyazaki,28.39,14,2015
Kagoshima,10.55,14,2015
Okinawa,10.44,14,2015
Total No.,7.98,15,2015
Hokkaido,11.06,15,2015
Aomori,5.98,15,2015
Iwate,5.85,15,2015
Miyagi,5.31,15,2015
Akita,3.0,15,2015
Yamagata,3.69,15,2015
Fukushima,13.27,15,2015
Ibaraki,5.16,15,2015
Tochigi,5.6,15,2015
Gunma,7.07,15,2015
Saitama,5.67,15,2015
Chiba,3.52,15,2015
Tokyo,4.56,15,2015
Kanagawa,4.01,15,2015
Niigata,7.15,15,2015
Toyama,4.28,15,2015
Ishikawa,4.72,15,2015
Fukui,9.77,15,2015
Yamanashi,4.0,15,2015
Nagano,6.3,15,2015
Gifu,4.88,15,2015
Shizuoka,6.06,15,2015
Aichi,4.45,15,2015
Mie,6.09,15,2015
Shiga,6.88,15,2015
Kyoto,3.29,15,2015
Osaka,12.95,15,2015
Hyogo,10.48,15,2015
Nara,10.5,15,2015
Wakayama,18.1,15,2015
Tottori,2.95,15,2015
Shimane,8.13,15,2015
Okayama,4.46,15,2015
Hiroshima,5.85,15,2015
Yamaguchi,13.08,15,2015
Tokushima,18.04,15,2015
Kagawa,11.46,15,2015
Ehime,15.57,15,2015
Kochi,11.47,15,2015
Fukuoka,14.86,15,2015
Saga,16.78,15,2015
Nagasaki,12.48,15,2015
Kumamoto,12.3,15,2015
Oita,10.78,15,2015
Miyazaki,28.72,15,2015
Kagoshima,11.67,15,2015
Okinawa,11.91,15,2015
Total No.,8.21,16,2015
Hokkaido,11.4,16,2015
Aomori,6.36,16,2015
Iwate,6.0,16,2015
Miyagi,5.4,16,2015
Akita,3.18,16,2015
Yamagata,4.03,16,2015
Fukushima,13.76,16,2015
Ibaraki,5.2,16,2015
Tochigi,5.67,16,2015
Gunma,7.1,16,2015
Saitama,5.78,16,2015
Chiba,3.6,16,2015
Tokyo,4.71,16,2015
Kanagawa,4.08,16,2015
Niigata,7.58,16,2015
Toyama,4.41,16,2015
Ishikawa,5.14,16,2015
Fukui,9.86,16,2015
Yamanashi,4.0,16,2015
Nagano,6.32,16,2015
Gifu,4.92,16,2015
Shizuoka,6.18,16,2015
Aichi,4.51,16,2015
Mie,6.11,16,2015
Shiga,6.97,16,2015
Kyoto,3.33,16,2015
Osaka,13.15,16,2015
Hyogo,10.55,16,2015
Nara,10.65,16,2015
Wakayama,18.26,16,2015
Tottori,3.0,16,2015
Shimane,8.43,16,2015
Okayama,4.56,16,2015
Hiroshima,6.06,16,2015
Yamaguchi,13.48,16,2015
Tokushima,18.26,16,2015
Kagawa,11.75,16,2015
Ehime,16.3,16,2015
Kochi,11.7,16,2015
Fukuoka,15.58,16,2015
Saga,16.96,16,2015
Nagasaki,13.5,16,2015
Kumamoto,12.68,16,2015
Oita,10.92,16,2015
Miyazaki,29.75,16,2015
Kagoshima,12.69,16,2015
Okinawa,13.85,16,2015
Total No.,8.45,17,2015
Hokkaido,11.7,17,2015
Aomori,6.64,17,2015
Iwate,6.13,17,2015
Miyagi,5.45,17,2015
Akita,3.32,17,2015
Yamagata,4.07,17,2015
Fukushima,14.29,17,2015
Ibaraki,5.21,17,2015
Tochigi,5.75,17,2015
Gunma,7.12,17,2015
Saitama,5.92,17,2015
Chiba,3.68,17,2015
Tokyo,4.86,17,2015
Kanagawa,4.23,17,2015
Niigata,8.2,17,2015
Toyama,4.52,17,2015
Ishikawa,5.31,17,2015
Fukui,10.09,17,2015
Yamanashi,4.04,17,2015
Nagano,6.38,17,2015
Gifu,4.98,17,2015
Shizuoka,6.26,17,2015
Aichi,4.61,17,2015
Mie,6.2,17,2015
Shiga,7.13,17,2015
Kyoto,3.37,17,2015
Osaka,13.62,17,2015
Hyogo,10.75,17,2015
Nara,10.76,17,2015
Wakayama,18.32,17,2015
Tottori,3.11,17,2015
Shimane,8.83,17,2015
Okayama,4.69,17,2015
Hiroshima,6.2,17,2015
Yamaguchi,13.83,17,2015
Tokushima,18.83,17,2015
Kagawa,11.79,17,2015
Ehime,16.68,17,2015
Kochi,11.9,17,2015
Fukuoka,16.25,17,2015
Saga,17.13,17,2015
Nagasaki,13.98,17,2015
Kumamoto,13.06,17,2015
Oita,11.11,17,2015
Miyazaki,30.0,17,2015
Kagoshima,13.56,17,2015
Okinawa,15.35,17,2015
Total No.,8.62,18,2015
Hokkaido,11.99,18,2015
Aomori,6.79,18,2015
Iwate,6.35,18,2015
Miyagi,5.53,18,2015
Akita,3.32,18,2015
Yamagata,4.1,18,2015
Fukushima,14.67,18,2015
Ibaraki,5.23,18,2015
Tochigi,5.81,18,2015
Gunma,7.14,18,2015
Saitama,6.02,18,2015
Chiba,3.73,18,2015
Tokyo,4.95,18,2015
Kanagawa,4.33,18,2015
Niigata,8.57,18,2015
Toyama,4.59,18,2015
Ishikawa,5.38,18,2015
Fukui,10.27,18,2015
Yamanashi,4.13,18,2015
Nagano,6.4,18,2015
Gifu,5.04,18,2015
Shizuoka,6.41,18,2015
Aichi,4.67,18,2015
Mie,6.24,18,2015
Shiga,7.25,18,2015
Kyoto,3.41,18,2015
Osaka,13.85,18,2015
Hyogo,10.83,18,2015
Nara,10.94,18,2015
Wakayama,18.39,18,2015
Tottori,3.26,18,2015
Shimane,9.09,18,2015
Okayama,4.76,18,2015
Hiroshima,6.3,18,2015
Yamaguchi,14.21,18,2015
Tokushima,19.0,18,2015
Kagawa,11.93,18,2015
Ehime,16.92,18,2015
Kochi,12.13,18,2015
Fukuoka,16.65,18,2015
Saga,17.3,18,2015
Nagasaki,14.34,18,2015
Kumamoto,13.16,18,2015
Oita,11.39,18,2015
Miyazaki,30.33,18,2015
Kagoshima,14.36,18,2015
Okinawa,16.85,18,2015
Total No.,8.72,19,2015
Hokkaido,12.14,19,2015
Aomori,6.9,19,2015
Iwate,6.5,19,2015
Miyagi,5.57,19,2015
Akita,3.38,19,2015
Yamagata,4.14,19,2015
Fukushima,15.0,19,2015
Ibaraki,5.24,19,2015
Tochigi,5.85,19,2015
Gunma,7.14,19,2015
Saitama,6.04,19,2015
Chiba,3.76,19,2015
Tokyo,4.98,19,2015
Kanagawa,4.31,19,2015
Niigata,8.78,19,2015
