date,Total_absent_rate,group
2013-03-10,0.0480047412090083,15
2013-03-17,0.04849903616927711,15
2013-03-24,0.046248555577329827,15
2013-03-31,0.03806925498426023,15
2013-04-07,0.029398563734290842,15
2013-04-14,0.046870204463411426,15
2013-04-21,0.04761620958660472,15
2013-04-28,0.04828289283486253,15
2013-05-05,0.050496342836061935,15
2013-05-12,0.045886974701199366,15
2013-05-19,0.043629536824058304,15
2013-05-26,0.04542140203934383,15
2013-06-02,0.04216081664891516,15
2013-06-09,0.028075205521161068,15
2013-06-16,0.016428459748549146,15
2013-06-23,0.037093213077226184,15
2013-06-30,0.03865536254224225,15
2013-07-07,0.04847323163751564,15
2013-07-14,0.06484650555192685,15
2013-07-21,0.032907801418439714,15
2013-07-28,0.05689725747032337,15
2013-08-04,0.0,15
2013-08-11,,16
2013-08-18,0.06396063960639606,17
2013-08-25,0.0,17
2013-09-01,0.015192832099727308,17
2013-09-08,0.016080841450676512,17
2013-09-15,0.019590579627746497,17
2013-09-22,0.03924747206734369,17
2013-09-29,0.03548969016594916,17
2013-10-06,0.03921875341040547,17
2013-10-13,0.034227972657640826,17
2013-10-20,0.04637413527161329,17
2013-10-27,0.041430191349621594,17
2013-11-03,0.0342860657123968,17
2013-11-10,0.03754072899308092,17
2013-11-17,0.03970260975116326,17
2013-11-24,0.04709617908965126,17
2013-12-01,0.048196411485379634,17
2013-12-08,0.047345993515516445,17
2013-12-15,0.05003040364044341,17
2013-12-22,0.054341532712958045,17
2013-12-29,,18
2014-01-05,0.02034587995930824,19
2014-01-12,0.04301482660200551,19
2014-01-19,0.03222599388000347,19
2014-01-26,0.05747610314140287,19
2014-02-02,,20
2014-02-09,,20
2014-02-16,0.0646859272029586,21
2014-02-23,0.06309263205989434,21
2014-03-02,0.059963387823385665,21
2014-03-09,0.0545094768226024,21
2014-03-16,0.055334574143167274,21
2014-03-23,0.054588192851224064,21
2014-03-30,0.04740903450341611,21
2014-04-06,0.05254426632407976,21
2014-04-13,0.048898670698744255,21
2014-04-20,0.03994240141781125,21
2014-04-27,,22
2014-05-04,0.048471290082028336,23
2014-05-11,0.04633411970357422,23
2014-05-18,0.04709078815345937,23
2014-05-25,0.0473421458917926,23
2014-06-01,0.04784555526821232,23
2014-06-08,0.028843709795364516,23
2014-06-15,0.012870888832903965,23
2014-06-22,0.01726694966764404,23
2014-06-29,0.0368250686626626,23
2014-07-06,0.06485628597086748,23
2014-07-13,0.06230125954986578,23
2014-07-20,0.03539609920539369,23
2014-07-27,0.01303538175046555,23
2014-08-03,0.039525691699604744,23
2014-08-10,,24
2014-08-17,0.004696243005595523,25
2014-08-24,0.02179937188250508,25
2014-08-31,0.04900500879924191,25
2014-09-07,0.01853856416932488,25
2014-09-14,0.022612585823528628,25
2014-09-21,0.03801964748554946,25
2014-09-28,0.040047690379383084,25
2014-10-05,0.05899911898358527,25
2014-10-12,0.04077047359386045,25
2014-10-19,0.03880620721421878,25
2014-10-26,0.03849498338334666,25
2014-11-02,0.025895032110430354,25
2014-11-09,0.040886279453052066,25
2014-11-16,0.041098913223368456,25
2014-11-23,0.05088337401856277,25
2014-11-30,0.048260311192839855,25
2014-12-07,0.04571902201909995,25
2014-12-14,0.050616395801314544,25
2014-12-21,0.058587780565988325,25
2014-12-28,0.04030396847734309,25
2015-01-04,0.0937269825681316,25
2015-01-11,0.045997091766019974,25
2015-01-18,0.0461676303099654,25
2015-01-25,0.057959735653593934,25
2015-02-01,0.07283699389516525,25
2015-02-08,0.0742573619434242,25
2015-02-15,0.08100656625684391,25
2015-02-22,0.11026209843069591,25
2015-03-01,0.09890391313255481,25
2015-03-08,0.05966217263288393,25
2015-03-15,0.05001194344370384,25
2015-03-22,0.05119333860478626,25
2015-03-29,0.04162734507292064,25
2015-04-05,0.061120917917034424,25
2015-04-12,0.03211128445137806,25
2015-04-19,0.04932223318422013,25
2015-04-26,0.04781276649505701,25
2015-05-03,0.048027375038839144,25
2015-05-10,0.0471807041381994,25
2015-05-17,0.051237762634508584,25
2015-05-24,0.05166804070510198,25
2015-05-31,0.04816960239587027,25
2015-06-07,0.040232728025723176,25
2015-06-14,0.016169878263825446,25
2015-06-21,0.029115570691494803,25
2015-06-28,0.04131594985916421,25
2015-07-05,0.05533759450499654,25
2015-07-12,0.07146148686090938,25
2015-07-19,0.03940570911421999,25
2015-07-26,0.05880551301684533,25
2015-08-02,,26
2015-08-09,0.0041797283176593526,27
2015-08-16,0.0146448087431694,27
2015-08-23,0.022060916595502418,27
2015-08-30,0.0526448362720403,27
2015-09-06,0.015877010692533923,27
2015-09-13,0.02327165994024844,27
2015-09-20,0.040036684481831696,27
2015-09-27,0.048565990909344416,27
2015-10-04,0.05012649765734407,27
2015-10-11,0.03796175234907519,27
2015-10-18,0.042160769495018895,27
2015-10-25,0.041088889358197295,27
2015-11-01,0.026899207271573834,27
2015-11-08,0.0234110204718528,27
2015-11-15,0.034466259136457185,27
2015-11-22,0.047190881296394004,27
2015-11-29,0.04824047237185619,27
2015-12-06,0.05748274278550029,27
2015-12-13,0.06078050691982972,27
2015-12-20,0.06379384241731552,27
2015-12-27,0.042015274598383404,27
2016-01-03,,28
2016-01-10,0.05372018715051923,29
2016-01-17,0.04968593563329595,29
2016-01-24,0.049104208932194186,29
2016-01-31,0.07136568439587757,29
2016-02-07,0.07153423982028546,29
2016-02-14,,30
2016-02-21,0.0763734972984567,31
2016-02-28,0.06475392983308723,31
2016-03-06,0.06345415192718364,31
2016-03-13,0.06475702101258064,31
2016-03-20,0.06538989236057087,31
2016-03-27,0.06016800156280524,31
2016-04-03,0.04791210606748998,31
2016-04-10,0.05765493120461022,31
2016-04-17,0.055275707141457325,31
2016-04-24,0.059745189565042676,31
2016-05-01,0.06047237974610668,31
2016-05-08,0.05929742971851839,31
2016-05-15,0.06842136106018368,31
2016-05-22,0.055599912624942564,31
2016-05-29,0.05131417385888424,31
2016-06-05,0.052060605135873295,31
2016-06-12,0.04339112852720668,31
2016-06-19,0.06669995351319709,31
2016-06-26,0.06339570802702904,31
2016-07-03,0.06935553832200739,31
2016-07-10,0.07705349240185995,31
2016-07-17,0.05303039134540283,31
2016-07-24,0.04216626698641087,31
2016-07-31,,32
2016-08-07,,32
2016-08-14,0.01737619461337967,33
2016-08-21,0.018623290900518622,33
2016-08-28,0.02581200258120026,33
2016-09-04,0.01569664312728003,33
2016-09-11,0.01878969888643793,33
2016-09-18,0.02592774503383541,33
2016-09-25,0.028457727150051685,33
2016-10-02,0.04233080140949299,33
2016-10-09,0.04695517728165637,33
2016-10-16,0.04500761407004945,33
2016-10-23,0.04636710616017475,33
2016-10-30,0.02262462578192192,33
2016-11-06,0.0264603017173879,33
2016-11-13,0.03513207248228758,33
2016-11-20,0.03848870653206209,33
2016-11-27,0.05029336483559756,33
2016-12-04,0.04783581699766566,33
2016-12-11,0.051591648836666656,33
2016-12-18,0.06117227477128237,33
2016-12-25,0.06052771500731091,33
2017-01-01,,34
2017-01-08,0.049015676997714606,35
2017-01-15,0.025209551425266593,35
2017-01-22,0.04810308137223569,35
2017-01-29,0.06212706212706213,35
2017-02-05,,36
2017-02-12,0.06696303281356998,37
2017-02-19,0.06295314202687977,37
2017-02-26,0.05984250169455382,37
2017-03-05,0.05512925808596347,37
2017-03-12,0.05381823596195723,37
2017-03-19,0.05210416453793043,37
2017-03-26,0.04946977091032713,37
2017-04-02,0.0566679187867336,37
2017-04-09,0.05633365189512883,37
2017-04-16,0.03157564463375675,37
2017-04-23,0.044777603739340144,37
2017-04-30,0.05401635987292873,37
2017-05-07,0.057012620801051274,37
2017-05-14,0.05256717464677606,37
2017-05-21,0.057055850768765806,37
2017-05-28,0.05954416469354926,37
2017-06-04,0.06010299909118449,37
2017-06-11,0.05966968566862014,37
2017-06-18,0.08063016484041675,37
2017-06-25,0.06828851507161428,37
2017-07-02,0.07382372318670694,37
2017-07-09,0.07512400689394258,37
2017-07-16,0.10529792115692137,37
2017-07-23,0.05783302477298775,37
2017-07-30,,38
2017-08-06,,38
2017-08-13,0.0010162601626016261,39
2017-08-20,0.0047169811320754715,39
2017-08-27,0.008647798742138365,39
2017-09-03,0.016668136519975306,39
2017-09-10,0.016871364742239547,39
2017-09-17,0.020505760742113247,39
2017-09-24,0.03968340097960483,39
2017-10-01,0.044868795094047065,39
2017-10-08,0.04975057051995743,39
2017-10-15,0.046190064243472835,39
2017-10-22,0.041791359325605903,39
2017-10-29,0.03997101315201135,39
2017-11-05,0.03397671178899751,39
2017-11-12,0.037183248482756635,39
2017-11-19,0.030998076218395017,39
2017-11-26,0.04681448912442128,39
2017-12-03,0.04854751462795827,39
2017-12-10,0.054315889218497525,39
2017-12-17,0.05945717414006801,39
2017-12-24,0.07450392927308448,39
2017-12-31,,40
2018-01-07,0.07660238388320695,41
2018-01-14,0.06388784343244261,41
2018-01-21,0.06464621541284828,41
2018-01-28,0.07819879738262296,41
2018-02-04,0.09154650895067058,41
2018-02-11,0.07591639900974609,41
2018-02-18,0.07691501624227182,41
2018-02-25,0.10152872957301001,41
2018-03-04,0.06777193805068199,41
2018-03-11,0.05494281847946785,41
2018-03-18,0.052376192639709225,41
2018-03-25,0.0466039684538212,41
2018-04-01,0.03997052864247559,41
2018-04-08,0.06889151196480309,41
2018-04-15,0.05867613942719401,41
2018-04-22,0.04956681716899261,41
2018-04-29,0.0543303730017762,41
2018-05-06,0.04935891861599853,41
2018-05-13,0.054319802473445554,41
2018-05-20,0.05273933279652786,41
2018-05-27,0.046921111039708946,41
2018-06-03,0.05052100912753413,41
2018-06-10,0.042098023600955624,41
2018-06-17,0.05072371904339332,41
2018-06-24,0.07055354735135645,41
2018-07-01,0.07009791338149547,41
2018-07-08,0.06360225140712945,41
2018-07-15,0.06721576803324783,41
2018-07-22,,42
2018-07-29,,42
2018-08-05,0.02975206611570248,43
2018-08-12,,44
2018-08-19,0.014219171365530768,45
2018-08-26,0.010581061692969872,45
2018-09-02,0.021372667068031308,45
2018-09-09,0.017148039756524017,45
2018-09-16,0.02006446830882733,45
2018-09-23,0.017979662626896556,45
2018-09-30,0.04388228464949293,45
2018-10-07,0.040405729757583705,45
2018-10-14,0.03383984662470113,45
2018-10-21,0.045062251389347614,45
2018-10-28,0.03889718178282074,45
2018-11-04,0.04436834036321478,45
2018-11-11,0.03172610134894683,45
2018-11-18,0.030298779632487026,45
2018-11-25,0.04262278563428425,45
2018-12-02,0.045742595262696785,45
2018-12-09,0.048408998325261396,45
2018-12-16,0.05730722884739604,45
2018-12-23,0.048251556707996274,45
2018-12-30,,46
2019-01-06,0.060784242731452984,47
2019-01-13,0.034626893075482036,47
2019-01-20,0.03979161739952982,47
2019-01-27,0.061904638401772516,47
2019-02-03,0.0818261309770353,47
2019-02-10,,48
2019-02-17,0.06727124253234194,49
2019-02-24,0.05021916892346178,49
2019-03-03,0.046690871050121534,49
2019-03-10,0.04433762324538502,49
2019-03-17,0.051553398058252424,49
2019-03-24,0.04833682757689524,49
2019-03-31,0.04648953162582436,49
2019-04-07,0.053093839706191595,49
2019-04-14,0.04859118635723791,49
2019-04-21,0.02934765271944282,49
2019-04-28,0.04154719944481984,49
2019-05-05,0.05300687528962276,49
2019-05-12,0.048771279135620134,49
2019-05-19,0.05076062943784377,49
2019-05-26,0.05850210509666875,49
2019-06-02,0.05130630187565731,49
2019-06-09,0.02439449706979554,49
2019-06-16,0.07315348930598722,49
2019-06-23,0.06405293938676854,49
2019-06-30,0.0648819041527708,49
2019-07-07,0.06481258814888957,49
2019-07-14,0.06721323493475392,49
2019-07-21,,50
2019-07-28,0.02284263959390863,51
2019-08-04,0.021998166819431713,51
2019-08-11,,52
2019-08-18,0.007054673721340388,53
2019-08-25,0.0,53
2019-09-01,0.01337579617834395,53
2019-09-08,0.020344992036568796,53
2019-09-15,0.02394031178876397,53
2019-09-22,0.03909100188649999,53
2019-09-29,0.04640609262497332,53
2019-10-06,0.052770785357958,53
2019-10-13,0.032491824460013724,53
2019-10-20,0.046266632454822036,53
2019-10-27,0.04419686441164647,53
2019-11-03,0.03805299939313672,53
2019-11-10,0.04687569888625486,53
2019-11-17,,54
2019-11-24,0.060332631181815324,55
2019-12-01,0.04258453245160759,55
2019-12-08,0.05660749125891012,55
2019-12-15,0.0567047659116939,55
2019-12-22,0.05538092198496144,55
2019-12-29,0.0537232233934036,55
2020-01-05,0.07668225462071496,55
