YEAR,WEEK,flu_season_year,flu_weekid,holiday_effect,date,ILI+,ILI_weight,pos,ILI_est,beta,S,I,R
2004,12,2004,22,0,2004-03-28,0.1131852526374228,0.849361,0.0133259300388672,0.18599750768073042,0.21868703455186003,87132.5146060594,15.273940555071976,12852.211453385617
2004,13,2004,23,0,2004-04-04,0.0686549135135128,0.747127,0.0091891891891891,0.19735417210952114,0.22198318249656288,87557.16087656931,15.925063669191541,12426.914059761833
2004,14,2004,24,0,2004-04-11,0.0334947806524179,0.661708,0.0050618672665916,0.2019466604351165,0.22407108550193547,87974.6476788325,15.95881214844213,12009.39350901912
2004,15,2004,25,0,2004-04-18,0.0651707800511503,0.679514,0.0095907928388746,0.2126404797997231,0.22740117424917708,88365.1364450136,16.90488531499572,11617.958669671396
2004,16,2004,26,0,2004-04-25,0.1048564803312629,0.633071,0.0165631469979296,0.2340613988621511,0.23103037538671128,88752.84486904943,18.270354177629823,11228.884776772973
2004,17,2004,27,0,2004-05-02,0.0455253013798109,0.569894,0.0079883805374001,0.2364531658190115,0.23310319821439676,89131.46268066259,18.59035141775012,10849.94696791952
2004,18,2004,28,0,2004-05-09,0.0410031818181817,0.591357,0.0069337442218798,0.2456278051610741,0.23532556104215996,89491.96035435222,19.280449111347938,10488.759196536426
2004,19,2004,29,0,2004-05-16,0.0094930539887187,0.589044,0.0016116035455278,0.22688496127145236,0.23562750444533861,89861.74488756529,17.837425478347168,10120.417686956338
2004,20,2004,30,0,2004-05-23,0.0245661538461535,0.67864,0.0036199095022624,0.23394638101665016,0.23693909075953068,90202.20414029459,17.99291100876363,9779.802948696417
2004,21,2004,31,0,2004-05-30,0.0362592227488145,0.637558,0.0056872037914691,0.24343726729656862,0.2378678433608834,90528.97176695881,18.583704063653798,9452.44452897766
2004,22,2004,32,0,2004-06-06,0.0592934872417977,0.813309,0.0072904009720534,0.2572453615388155,0.2394209507239579,90836.759191039,19.327472729448544,9143.91333623143
2004,23,2004,33,0,2004-06-13,0.0315719167717521,0.834551,0.0037831021437578,0.2603345772793751,0.24083383061324307,91139.14142539348,20.185839164639447,8840.672735441634
2004,24,2004,34,0,2004-06-20,0.0146012796208524,0.616174,0.0023696682464454,0.25517406944291393,0.24141982103384726,91436.84991629439,19.740434074701447,8543.409649630898
2004,25,2004,35,0,2004-06-27,0.0207808097165991,0.513286,0.0040485829959514,0.2680453510571864,0.24235944157239156,91721.72546754846,20.200778329547862,8258.073754121911
2004,26,2004,36,0,2004-07-04,0.0144608630136983,0.351881,0.0041095890410958,0.26505951042213766,0.24226457951947786,92003.06633029161,20.015975647441433,7976.917694060855
2004,27,2004,37,0,2004-07-11,0.0094698254799297,0.542621,0.0017452006980802,0.25638910091926026,0.24179943551959174,92277.22375674281,19.2543614115934,7703.52188184551
