"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2015",,,,,,"Data collected as of January 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Tokushima,5679,149.45,246,10.7,40,1.74,106,4.61,799,34.74,61,2.65,8,0.35,2,0.09,53,2.3,1,0.04,1,0.04,5,0.22,-,-,3,0.75,-,-,-,-,5,0.71,-,-,1,0.14
Kagawa,7200,150,147,5.07,25,0.86,185,6.38,577,19.9,53,1.83,42,1.45,5,0.17,30,1.03,1,0.03,3,0.1,9,0.31,-,-,3,0.6,-,-,1,0.2,16,3.2,-,-,1,0.2
Ehime,8112,132.98,187,5.05,20,0.54,334,9.03,1486,40.16,83,2.24,70,1.89,8,0.22,72,1.95,1,0.03,2,0.05,58,1.57,-,-,42,5.25,1,0.17,-,-,-,-,-,-,1,0.17
Kochi,7348,153.08,141,4.7,8,0.27,152,5.07,735,24.5,55,1.83,72,2.4,3,0.1,49,1.63,2,0.07,-,-,48,1.6,-,-,-,-,-,-,-,-,15,1.88,1,0.13,1,0.13
Fukuoka,43986,222.15,404,3.37,162,1.35,1384,11.53,3102,25.85,443,3.69,256,2.13,267,2.23,268,2.23,8,0.07,8,0.07,260,2.17,5,0.19,66,2.54,5,0.38,-,-,7,0.54,-,-,-,-
Saga,7971,204.38,118,5.13,30,1.3,171,7.43,404,17.57,121,5.26,70,3.04,42,1.83,58,2.52,-,-,3,0.13,94,4.09,-,-,3,0.75,-,-,-,-,7,1.17,-,-,3,0.5
Nagasaki,13864,198.06,112,2.55,29,0.66,247,5.61,1414,32.14,124,2.82,79,1.8,15,0.34,54,1.23,1,0.02,2,0.05,53,1.2,1,0.13,26,3.25,-,-,-,-,9,0.75,-,-,30,2.5
Kumamoto,18171,227.14,221,4.42,76,1.52,242,4.84,2046,40.92,166,3.32,101,2.02,6,0.12,115,2.3,-,-,22,0.44,84,1.68,-,-,20,2.22,-,-,4,0.27,8,0.53,-,-,1,0.07
Oita,12489,215.33,153,4.25,27,0.75,355,9.86,1532,42.56,196,5.44,52,1.44,51,1.42,98,2.72,1,0.03,8,0.22,51,1.42,-,-,39,7.8,-,-,-,-,2,0.18,-,-,-,-
Miyazaki,16965,287.54,160,4.44,54,1.5,169,4.69,1547,42.97,148,4.11,25,0.69,1,0.03,103,2.86,-,-,4,0.11,17,0.47,-,-,43,7.17,-,-,-,-,-,-,-,-,1,0.14
Kagoshima,17262,185.61,133,2.42,76,1.38,558,10.15,2147,39.04,264,4.8,175,3.18,48,0.87,78,1.42,4,0.07,2,0.04,48,0.87,1,0.14,10,1.43,-,-,-,-,-,-,-,-,2,0.17
Okinawa,15176,261.66,22,0.65,53,1.56,243,7.15,385,11.32,224,6.59,105,3.09,15,0.44,39,1.15,8,0.24,3,0.09,385,11.32,3,0.3,53,5.3,5,0.71,4,0.57,9,1.29,-,-,5,0.71
