"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2015",,,,,,"Data collected as of October 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Kagawa,10109,215.09,488,17.43,554,19.79,1732,61.86,6529,233.18,350,12.5,4526,161.64,435,15.54,678,24.21,32,1.14,934,33.36,211,7.54,7,1.4,72,14.4,1,0.2,10,2,165,33,3,0.6,66,13.2
Ehime,14760,241.97,947,25.59,313,8.46,4683,126.57,12414,335.51,527,14.24,3070,82.97,240,6.49,1116,30.16,18,0.49,2344,63.35,584,15.78,1,0.13,552,69,2,0.33,3,0.5,28,4.67,-,-,16,2.67
Kochi,15324,319.25,912,30.4,133,4.43,2285,76.17,5037,167.9,457,15.23,2431,81.03,155,5.17,544,18.13,13,0.43,954,31.8,650,21.67,-,-,14,4.67,9,1.13,13,1.63,242,30.25,39,4.88,63,7.88
Fukuoka,66452,335.62,5225,43.54,2903,24.19,16577,138.14,37383,311.53,2834,23.62,17103,142.53,4499,37.49,4018,33.48,126,1.05,6971,58.09,4794,39.95,31,1.19,1565,60.19,26,1.86,81,5.79,247,17.64,3,0.21,30,2.14
Saga,12774,336.16,714,31.04,369,16.04,1784,77.57,4799,208.65,499,21.7,3308,143.83,679,29.52,721,31.35,8,0.35,1115,48.48,1825,79.35,-,-,54,13.5,4,0.67,14,2.33,140,23.33,-,-,86,14.33
Nagasaki,21904,317.45,1144,26,418,9.5,4682,106.41,9293,211.2,580,13.18,4242,96.41,1234,28.05,866,19.68,10,0.23,648,14.73,1744,39.64,19,2.38,376,47,7,0.58,37,3.08,191,15.92,-,-,85,7.08
Kumamoto,26138,326.73,1150,23,669,13.38,2666,53.32,18843,376.86,870,17.4,6417,128.34,789,15.78,1650,33,24,0.48,1952,39.04,1149,22.98,-,-,1216,135.11,3,0.2,46,3.07,152,10.13,-,-,76,5.07
Oita,22738,392.03,1155,32.08,564,15.67,4021,111.69,17972,499.22,1195,33.19,5385,149.58,2119,58.86,1375,38.19,42,1.17,2223,61.75,792,22,-,-,252,50.4,1,0.09,5,0.45,85,7.73,-,-,52,4.73
Miyazaki,25639,434.56,2122,58.94,1098,30.5,3082,85.61,14094,391.5,1074,29.83,5723,158.97,272,7.56,1521,42.25,16,0.44,2093,58.14,554,15.39,5,0.83,725,120.83,1,0.14,12,1.71,10,1.43,1,0.14,34,4.86
Kagoshima,32801,352.7,2026,36.84,1497,27.22,7943,144.42,19397,352.67,1130,20.55,6585,119.73,1927,35.04,1244,22.62,71,1.29,1979,35.98,628,11.42,1,0.14,258,36.86,5,0.42,3,0.25,65,5.42,-,-,27,2.25
Okinawa,30235,521.29,1806,53.12,785,23.09,1695,49.85,3977,116.97,933,27.44,2371,69.74,309,9.09,513,15.09,158,4.65,390,11.47,3916,115.18,28,2.8,369,36.9,35,5,83,11.86,132,18.86,6,0.86,76,10.86
