"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2020",,,,,,"Data collected as of August 5, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,3549,93.39,75,3.26,115,5,815,35.43,2237,97.26,120,5.22,40,1.74,171,7.43,416,18.09,17,0.74,18,0.78,-,-,3,1,2,0.25,5,0.63,17,2.13,-,-,-,-
Okayama,12125,144.35,128,2.37,476,8.81,1244,23.04,5854,108.41,278,5.15,108,2,322,5.96,446,8.26,56,1.04,91,1.69,2,0.17,39,3.25,7,1.4,1,0.2,17,3.4,-,-,1,0.2
Hiroshima,10533,93.21,291,4.16,845,12.07,2467,35.24,7357,105.1,369,5.27,130,1.86,340,4.86,716,10.23,50,0.71,128,1.83,6,0.33,205,11.39,5,0.25,3,0.15,67,3.35,-,-,11,0.55
Yamaguchi,5478,81.76,481,10.46,273,5.93,1855,40.33,4390,95.43,236,5.13,174,3.78,353,7.67,752,16.35,123,2.67,62,1.35,-,-,53,5.89,-,-,4,0.44,53,5.89,-,-,13,1.44
Tokushima,3092,83.57,118,5.13,154,6.7,368,16,2333,101.43,138,6,51,2.22,111,4.83,292,12.7,9,0.39,28,1.22,-,-,18,4.5,3,0.5,1,0.17,37,6.17,-,-,1,0.17
Kagawa,5018,109.09,124,4.59,212,7.85,936,34.67,4606,170.59,175,6.48,62,2.3,224,8.3,457,16.93,49,1.81,39,1.44,3,0.75,18,4.5,2,0.5,3,0.75,45,11.25,1,0.25,3,0.75
Ehime,8121,133.13,110,2.97,171,4.62,2390,64.59,5123,138.46,202,5.46,74,2,361,9.76,669,18.08,15,0.41,230,6.22,4,0.5,249,31.13,1,0.17,1,0.17,29,4.83,-,-,6,1
Kochi,7096,154.26,174,6.21,168,6,1262,45.07,1789,63.89,141,5.04,292,10.43,220,7.86,306,10.93,38,1.36,70,2.5,-,-,10,3.33,2,0.25,1,0.13,78,9.75,-,-,6,0.75
Fukuoka,24824,126.01,629,5.29,1329,11.17,13350,112.18,15148,127.29,1566,13.16,865,7.27,1068,8.97,2254,18.94,1445,12.14,356,2.99,1,0.04,188,7.52,11,0.73,13,0.87,91,6.07,-,-,2,0.13
Saga,4816,123.49,75,3.26,406,17.65,1598,69.48,1810,78.7,208,9.04,243,10.57,300,13.04,459,19.96,245,10.65,22,0.96,-,-,12,4,6,1,5,0.83,23,3.83,-,-,1,0.17
Nagasaki,9860,140.86,87,1.98,509,11.57,3138,71.32,3837,87.2,420,9.55,240,5.45,455,10.34,550,12.5,1162,26.41,58,1.32,2,0.25,40,5,4,0.33,1,0.08,80,6.67,-,-,3,0.25
Kumamoto,6617,82.71,159,3.18,547,10.94,2108,42.16,4883,97.66,491,9.82,564,11.28,789,15.78,1040,20.8,686,13.72,99,1.98,-,-,223,27.88,3,0.2,7,0.47,39,2.6,1,0.07,4,0.27
Oita,6906,119.07,121,3.36,238,6.61,1509,41.92,6323,175.64,353,9.81,140,3.89,536,14.89,671,18.64,215,5.97,84,2.33,1,0.2,47,9.4,-,-,2,0.18,74,6.73,-,-,-,-
Miyazaki,8216,141.66,52,1.49,638,18.23,3038,86.8,6785,193.86,345,9.86,164,4.69,434,12.4,835,23.86,199,5.69,82,2.34,-,-,91,15.17,4,0.57,-,-,7,1,-,-,3,0.43
Kagoshima,11144,122.46,324,6.11,1461,27.57,3012,56.83,8601,162.28,447,8.43,599,11.3,466,8.79,807,15.23,976,18.42,139,2.62,1,0.14,103,14.71,5,0.42,1,0.08,18,1.5,-,-,7,0.58
Okinawa,8168,143.3,52,1.58,425,12.88,1756,53.21,1779,53.91,406,12.3,119,3.61,36,1.09,337,10.21,246,7.45,62,1.88,-,-,154,17.11,16,2.29,21,3,41,5.86,2,0.29,44,6.29
