"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2015",,,,,,"Data collected as of September 16, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Wakayama,9309,189.98,613,20.43,326,10.87,1142,38.07,3709,123.63,369,12.3,3276,109.2,265,8.83,467,15.57,7,0.23,1321,44.03,103,3.43,3,0.75,44,11,8,0.73,5,0.45,56,5.09,3,0.27,76,6.91
Tottori,7341,253.14,92,4.84,260,13.68,3777,198.79,4516,237.68,181,9.53,1953,102.79,93,4.89,323,17,28,1.47,353,18.58,139,7.32,-,-,68,22.67,2,0.4,11,2.2,18,3.6,-,-,95,19
Shimane,8411,221.34,434,18.87,602,26.17,2778,120.78,5123,222.74,278,12.09,2393,104.04,81,3.52,530,23.04,3,0.13,170,7.39,270,11.74,2,0.67,33,11,3,0.38,36,4.5,51,6.38,1,0.13,75,9.38
Okayama,25542,307.73,407,7.54,445,8.24,2354,43.59,12854,238.04,671,12.43,4384,81.19,356,6.59,768,14.22,26,0.48,1285,23.8,762,14.11,5,0.42,180,15,2,0.4,5,1,9,1.8,1,0.2,29,5.8
Hiroshima,29772,261.16,948,13.35,1449,20.41,6838,96.31,17673,248.92,956,13.46,4956,69.8,400,5.63,1274,17.94,55,0.77,1951,27.48,2056,28.96,12,0.67,540,30,2,0.1,27,1.29,147,7,5,0.24,117,5.57
Yamaguchi,22606,332.44,1290,27.45,406,8.64,5867,124.83,11622,247.28,971,20.66,4965,105.64,368,7.83,1230,26.17,15,0.32,949,20.19,187,3.98,-,-,118,13.11,2,0.22,1,0.11,60,6.67,-,-,42,4.67
Tokushima,8479,229.16,565,24.57,306,13.3,1056,45.91,4837,210.3,356,15.48,3848,167.3,66,2.87,642,27.91,10,0.43,370,16.09,56,2.43,-,-,14,3.5,3,0.43,3,0.43,26,3.71,-,-,29,4.14
Kagawa,10103,214.96,365,13.04,492,17.57,1597,57.04,6010,214.64,307,10.96,4116,147,359,12.82,580,20.71,30,1.07,864,30.86,174,6.21,6,1.2,60,12,1,0.2,9,1.8,131,26.2,3,0.6,66,13.2
Ehime,14737,241.59,723,19.54,295,7.97,4157,112.35,11569,312.68,485,13.11,2333,63.05,192,5.19,971,26.24,16,0.43,2285,61.76,479,12.95,1,0.13,456,57,2,0.33,3,0.5,15,2.5,-,-,16,2.67
Kochi,15320,319.17,576,19.2,126,4.2,2090,69.67,4812,160.4,392,13.07,2001,66.7,125,4.17,486,16.2,12,0.4,900,30,587,19.57,-,-,14,4.67,9,1.13,11,1.38,217,27.13,35,4.38,63,7.88
Fukuoka,66374,335.22,4218,35.15,2477,20.64,15127,126.06,34026,283.55,2603,21.69,15720,131,4060,33.83,3494,29.12,108,0.9,6822,56.85,3874,32.28,17,0.65,1117,42.96,23,1.53,60,4,109,7.27,1,0.07,30,2
Saga,12767,335.97,553,24.04,335,14.57,1672,72.7,4491,195.26,473,20.57,3046,132.43,561,24.39,631,27.43,8,0.35,1096,47.65,1483,64.48,-,-,34,8.5,2,0.33,13,2.17,85,14.17,-,-,84,14
Nagasaki,21898,317.36,941,21.39,362,8.23,4166,94.68,8665,196.93,519,11.8,3995,90.8,1022,23.23,734,16.68,9,0.2,588,13.36,1361,30.93,19,2.38,239,29.88,7,0.58,35,2.92,138,11.5,-,-,85,7.08
Kumamoto,26131,326.64,844,16.88,562,11.24,2332,46.64,16660,333.2,829,16.58,5916,118.32,521,10.42,1433,28.66,23,0.46,1784,35.68,890,17.8,-,-,885,98.33,2,0.13,35,2.33,96,6.4,-,-,75,5
Oita,22733,391.95,920,25.56,500,13.89,3571,99.19,16632,462,1124,31.22,4349,120.81,1717,47.69,1187,32.97,34,0.94,2094,58.17,690,19.17,-,-,231,46.2,1,0.09,4,0.36,64,5.82,-,-,52,4.73
Miyazaki,25632,434.44,1709,47.47,989,27.47,2709,75.25,12172,338.11,947,26.31,5464,151.78,184,5.11,1312,36.44,16,0.44,2036,56.56,354,9.83,4,0.67,521,86.83,1,0.14,12,1.71,3,0.43,1,0.14,33,4.71
Kagoshima,32765,352.31,1832,33.31,1322,24.04,7262,132.04,17196,312.65,998,18.15,6306,114.65,1574,28.62,1060,19.27,63,1.15,1923,34.96,456,8.29,1,0.14,183,26.14,4,0.33,3,0.25,47,3.92,-,-,27,2.25
Okinawa,29784,513.52,1743,51.26,661,19.44,1511,44.44,3460,101.76,877,25.79,2315,68.09,259,7.62,463,13.62,131,3.85,339,9.97,3444,101.29,27,2.7,310,31,29,4.14,76,10.86,95,13.57,4,0.57,76,10.86
