"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2019",,,,,,"Data collected as of May 29, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,7417,195.18,167,7.26,184,8,986,42.87,2991,130.04,129,5.61,347,15.09,67,2.91,226,9.83,17,0.74,27,1.17,-,-,5,1.67,1,0.13,3,0.38,11,1.38,2,0.25,19,2.38
Okayama,19588,233.19,271,5.02,370,6.85,1887,34.94,8103,150.06,261,4.83,394,7.3,218,4.04,285,5.28,88,1.63,80,1.48,1,0.08,116,9.67,2,0.4,1,0.2,7,1.4,-,-,42,8.4
Hiroshima,26413,233.74,659,9.41,745,10.64,3023,43.19,9806,140.09,344,4.91,300,4.29,392,5.6,460,6.57,54,0.77,287,4.1,3,0.17,222,12.33,5,0.25,6,0.3,30,1.5,-,-,81,4.05
Yamaguchi,17349,262.86,1136,24.7,274,5.96,2031,44.15,5313,115.5,164,3.57,200,4.35,412,8.96,406,8.83,54,1.17,75,1.63,1,0.11,113,12.56,3,0.33,-,-,41,4.56,-,-,49,5.44
Tokushima,8105,219.05,599,26.04,138,6,365,15.87,3369,146.48,79,3.43,153,6.65,83,3.61,160,6.96,10,0.43,14,0.61,2,0.5,54,13.5,-,-,-,-,6,0.86,-,-,2,0.29
Kagawa,11223,238.79,246,8.79,258,9.21,1095,39.11,4464,159.43,139,4.96,41,1.46,285,10.18,272,9.71,22,0.79,110,3.93,4,0.8,23,4.6,1,0.2,2,0.4,12,2.4,1,0.2,15,3
Ehime,14691,240.84,245,6.62,261,7.05,2446,66.11,6944,187.68,254,6.86,43,1.16,262,7.08,448,12.11,14,0.38,86,2.32,1,0.13,473,59.13,-,-,2,0.33,14,2.33,-,-,11,1.83
Kochi,13735,286.15,344,11.47,121,4.03,1490,49.67,3193,106.43,156,5.2,48,1.6,156,5.2,180,6,13,0.43,19,0.63,-,-,32,10.67,2,0.25,-,-,56,7,4,0.5,87,10.88
Fukuoka,65465,330.63,1796,14.97,1432,11.93,9207,76.73,19716,164.3,1203,10.03,1934,16.12,2715,22.63,1452,12.1,285,2.38,535,4.46,10,0.38,569,21.88,13,0.87,8,0.53,33,2.2,-,-,91,6.07
Saga,10059,257.92,229,9.96,271,11.78,802,34.87,2319,100.83,189,8.22,433,18.83,370,16.09,305,13.26,52,2.26,18,0.78,-,-,37,9.25,1,0.17,3,0.5,15,2.5,-,-,59,9.83
Nagasaki,21485,311.38,196,4.56,490,11.4,1455,33.84,3378,78.56,231,5.37,453,10.53,361,8.4,370,8.6,53,1.23,72,1.67,4,0.5,126,15.75,5,0.42,12,1,29,2.42,-,-,31,2.58
Kumamoto,21693,274.59,561,11.45,467,9.53,2175,44.39,7926,161.76,350,7.14,954,19.47,306,6.24,711,14.51,256,5.22,103,2.1,1,0.11,408,45.33,3,0.2,7,0.47,13,0.87,-,-,156,10.4
Oita,19225,331.47,319,8.86,462,12.83,1599,44.42,7046,195.72,283,7.86,560,15.56,185,5.14,384,10.67,83,2.31,355,9.86,-,-,106,21.2,2,0.18,6,0.55,30,2.73,-,-,18,1.64
Miyazaki,18182,313.48,254,7.26,475,13.57,2287,65.34,6362,181.77,340,9.71,1827,52.2,504,14.4,480,13.71,527,15.06,91,2.6,-,-,295,49.17,-,-,-,-,-,-,-,-,19,2.71
Kagoshima,25730,279.67,660,12.22,1184,21.93,2629,48.69,9961,184.46,575,10.65,2251,41.69,249,4.61,455,8.43,412,7.63,143,2.65,1,0.14,288,41.14,4,0.33,-,-,4,0.33,-,-,25,2.08
Okinawa,20967,367.84,294,8.91,254,7.7,1105,33.48,2337,70.82,315,9.55,577,17.48,747,22.64,298,9.03,79,2.39,57,1.73,2,0.25,217,27.13,10,1.43,11,1.57,30,4.29,3,0.43,19,2.71
