"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2020",,,,,,"Data collected as of October 28, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,3549,93.39,76,3.3,135,5.87,953,41.43,2806,122,145,6.3,68,2.96,174,7.57,570,24.78,132,5.74,26,1.13,-,-,4,1.33,3,0.38,7,0.88,22,2.75,-,-,-,-
Okayama,12133,144.44,167,3.09,543,10.06,1395,25.83,7331,135.76,342,6.33,375,6.94,325,6.02,671,12.43,684,12.67,117,2.17,3,0.25,83,6.92,7,1.4,2,0.4,18,3.6,-,-,1,0.2
Hiroshima,10533,92.39,294,4.14,1045,14.72,2880,40.56,8986,126.56,473,6.66,363,5.11,344,4.85,1062,14.96,341,4.8,177,2.49,6,0.33,247,13.72,7,0.35,5,0.25,69,3.45,-,-,11,0.55
Yamaguchi,5478,81.76,561,12.2,312,6.78,2195,47.72,5347,116.24,286,6.22,269,5.85,358,7.78,1037,22.54,1228,26.7,80,1.74,-,-,72,8,2,0.22,5,0.56,62,6.89,-,-,14,1.56
Tokushima,3092,85.89,129,5.61,181,7.87,416,18.09,2917,126.83,166,7.22,60,2.61,112,4.87,429,18.65,28,1.22,38,1.65,-,-,28,7,3,0.5,2,0.33,40,6.67,-,-,1,0.17
Kagawa,5019,109.11,130,4.81,317,11.74,1052,38.96,5648,209.19,221,8.19,105,3.89,228,8.44,636,23.56,167,6.19,61,2.26,4,1,34,8.5,2,0.5,4,1,47,11.75,1,0.25,3,0.75
Ehime,8122,133.15,112,3.03,214,5.78,2749,74.3,6319,170.78,255,6.89,92,2.49,369,9.97,960,25.95,111,3,263,7.11,5,0.63,329,41.13,2,0.33,1,0.17,29,4.83,-,-,6,1
Kochi,7097,154.28,176,6.29,273,9.75,1405,50.18,2186,78.07,194,6.93,678,24.21,237,8.46,440,15.71,200,7.14,89,3.18,-,-,13,4.33,2,0.25,1,0.13,89,11.13,-,-,7,0.88
Fukuoka,24825,126.02,642,5.39,1673,14.06,16268,136.71,19416,163.16,1798,15.11,1149,9.66,1085,9.12,3238,27.21,3766,31.65,431,3.62,3,0.12,225,9,15,1,21,1.4,96,6.4,-,-,2,0.13
Saga,4816,123.49,109,4.74,466,20.26,1864,81.04,2029,88.22,229,9.96,274,11.91,303,13.17,635,27.61,947,41.17,32,1.39,-,-,13,4.33,6,1,6,1,35,5.83,-,-,1,0.17
Nagasaki,9867,140.96,106,2.41,584,13.27,3907,88.8,4503,102.34,470,10.68,278,6.32,463,10.52,789,17.93,1540,35,91,2.07,2,0.25,52,6.5,8,0.67,4,0.33,102,8.5,-,-,3,0.25
Kumamoto,6617,82.71,159,3.18,639,12.78,2374,47.48,6053,121.06,587,11.74,774,15.48,800,16,1458,29.16,2039,40.78,130,2.6,-,-,286,35.75,4,0.27,7,0.47,39,2.6,1,0.07,4,0.27
Oita,6906,119.07,121,3.36,294,8.17,1698,47.17,7947,220.75,450,12.5,187,5.19,542,15.06,926,25.72,926,25.72,101,2.81,1,0.2,65,13,1,0.09,2,0.18,105,9.55,-,-,-,-
Miyazaki,8216,141.66,71,2.03,755,21.57,3830,109.43,8140,232.57,427,12.2,294,8.4,440,12.57,1165,33.29,588,16.8,119,3.4,-,-,126,21,4,0.57,1,0.14,7,1,-,-,3,0.43
Kagoshima,11149,122.52,1608,30.34,1674,31.58,3510,66.23,10311,194.55,588,11.09,1214,22.91,476,8.98,1113,21,1666,31.43,186,3.51,1,0.14,114,16.29,5,0.42,1,0.08,21,1.75,-,-,7,0.58
Okinawa,8180,143.51,565,17.12,621,18.82,2075,62.88,2083,63.12,451,13.67,500,15.15,44,1.33,454,13.76,381,11.55,104,3.15,-,-,178,19.78,19,2.71,30,4.29,42,6,3,0.43,45,6.43
