"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2015",,,,,,"Data collected as of October 14, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,29789,261.31,1372,19.32,1491,21,7423,104.55,18626,262.34,1009,14.21,5789,81.54,503,7.08,1401,19.73,69,0.97,2083,29.34,2397,33.76,13,0.72,652,36.22,3,0.14,30,1.43,183,8.71,7,0.33,117,5.57
Yamaguchi,22607,332.46,1604,34.13,439,9.34,6293,133.89,12093,257.3,1000,21.28,5576,118.64,438,9.32,1328,28.26,16,0.34,1089,23.17,222,4.72,-,-,183,20.33,2,0.22,2,0.22,80,8.89,-,-,42,4.67
Tokushima,8485,229.32,817,35.52,327,14.22,1118,48.61,5217,226.83,392,17.04,4147,180.3,78,3.39,698,30.35,11,0.48,408,17.74,85,3.7,-,-,15,3.75,3,0.43,3,0.43,28,4,-,-,30,4.29
Kagawa,10108,215.06,430,15.36,542,19.36,1681,60.04,6348,226.71,326,11.64,4465,159.46,408,14.57,655,23.39,30,1.07,928,33.14,200,7.14,6,1.2,69,13.8,1,0.2,10,2,152,30.4,3,0.6,66,13.2
Ehime,14755,241.89,864,23.35,307,8.3,4473,120.89,12103,327.11,513,13.86,2912,78.7,220,5.95,1068,28.86,18,0.49,2341,63.27,556,15.03,1,0.13,499,62.38,2,0.33,3,0.5,17,2.83,-,-,16,2.67
Kochi,15324,319.25,815,27.17,131,4.37,2225,74.17,4941,164.7,442,14.73,2361,78.7,150,5,530,17.67,13,0.43,946,31.53,635,21.17,-,-,14,4.67,9,1.13,13,1.63,235,29.38,37,4.63,63,7.88
Fukuoka,66396,335.33,4948,41.23,2751,22.93,16012,133.43,35820,298.5,2748,22.9,16914,140.95,4348,36.23,3838,31.98,121,1.01,6948,57.9,4482,37.35,26,1,1414,54.38,25,1.67,77,5.13,206,13.73,2,0.13,30,2
Saga,12767,335.97,661,28.74,358,15.57,1736,75.48,4637,201.61,491,21.35,3269,142.13,641,27.87,696,30.26,8,0.35,1110,48.26,1703,74.04,-,-,51,12.75,4,0.67,14,2.33,130,21.67,-,-,84,14
Nagasaki,21901,317.41,1092,24.82,402,9.14,4494,102.14,8975,203.98,564,12.82,4215,95.8,1167,26.52,817,18.57,10,0.23,646,14.68,1604,36.45,19,2.38,326,40.75,7,0.58,35,2.92,173,14.42,-,-,85,7.08
Kumamoto,26134,326.68,1044,20.88,624,12.48,2504,50.08,17946,358.92,852,17.04,6328,126.56,692,13.84,1576,31.52,24,0.48,1919,38.38,1063,21.26,-,-,1139,126.56,3,0.2,44,2.93,131,8.73,-,-,75,5
Oita,22737,392.02,1126,31.28,537,14.92,3846,106.83,17402,483.39,1163,32.31,5257,146.03,1980,55,1316,36.56,39,1.08,2212,61.44,755,20.97,-,-,246,49.2,1,0.09,5,0.45,74,6.73,-,-,52,4.73
Miyazaki,25635,434.49,2024,56.22,1053,29.25,2939,81.64,13322,370.06,1036,28.78,5685,157.92,238,6.61,1449,40.25,16,0.44,2082,57.83,473,13.14,5,0.83,656,109.33,1,0.14,12,1.71,8,1.14,1,0.14,34,4.86
Kagoshima,32795,352.63,1997,36.31,1424,25.89,7634,138.8,18492,336.22,1083,19.69,6543,118.96,1815,33,1187,21.58,67,1.22,1966,35.75,572,10.4,1,0.14,245,35,4,0.33,3,0.25,54,4.5,-,-,27,2.25
Okinawa,30126,519.41,1795,52.79,748,22,1636,48.12,3805,111.91,912,26.82,2355,69.26,292,8.59,500,14.71,148,4.35,373,10.97,3741,110.03,28,2.8,354,35.4,32,4.57,81,11.57,119,17,5,0.71,76,10.86
