"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24th week, 2022",,,,,,"Data collected as of June 22, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,6,0.09,202,4.49,194,4.31,662,14.71,5269,117.09,64,1.42,90,2,10,0.22,385,8.56,56,1.24,30,0.67,-,-,47,5.22,-,-,-,-,5,0.56,-,-,-,-
Tokushima,-,-,28,1.22,120,5.22,74,3.22,2090,90.87,31,1.35,82,3.57,3,0.13,185,8.04,6,0.26,9,0.39,-,-,2,0.5,1,0.14,1,0.14,2,0.29,-,-,-,-
Kagawa,1,0.02,3,0.11,130,4.64,134,4.79,4181,149.32,55,1.96,79,2.82,15,0.54,268,9.57,14,0.5,26,0.93,-,-,12,2.4,1,0.2,1,0.2,1,0.2,-,-,1,0.2
Ehime,12,0.2,382,10.61,142,3.94,400,11.11,6498,180.5,61,1.69,58,1.61,15,0.42,410,11.39,9,0.25,31,0.86,-,-,125,17.86,1,0.17,-,-,-,-,-,-,3,0.5
Kochi,9,0.2,10,0.36,162,5.79,179,6.39,2185,78.04,55,1.96,25,0.89,9,0.32,215,7.68,7,0.25,17,0.61,-,-,8,2.67,4,0.5,-,-,5,0.63,-,-,7,0.88
Fukuoka,15,0.08,1936,16.13,847,7.06,2630,21.92,18457,153.81,317,2.64,387,3.23,32,0.27,1500,12.5,50,0.42,98,0.82,4,0.15,80,3.08,2,0.13,9,0.6,2,0.13,-,-,-,-
Saga,-,-,304,13.82,207,9.41,227,10.32,2529,114.95,61,2.77,114,5.18,9,0.41,340,15.45,7,0.32,8,0.36,1,0.25,14,3.5,2,0.33,5,0.83,1,0.17,-,-,4,0.67
Nagasaki,5,0.07,958,22.28,273,6.35,1021,23.74,3618,84.14,72,1.67,102,2.37,22,0.51,356,8.28,10,0.23,21,0.49,5,0.71,50,7.14,10,0.83,2,0.17,1,0.08,-,-,4,0.33
Kumamoto,5,0.06,868,17.71,168,3.43,181,3.69,7312,149.22,123,2.51,189,3.86,22,0.45,687,14.02,77,1.57,24,0.49,-,-,60,6.67,1,0.07,7,0.47,2,0.13,-,-,3,0.2
Oita,7,0.12,184,5.11,152,4.22,185,5.14,8578,238.28,84,2.33,313,8.69,17,0.47,422,11.72,33,0.92,38,1.06,-,-,26,5.2,-,-,1,0.09,3,0.27,-,-,-,-
Miyazaki,14,0.24,1491,41.42,252,7,534,14.83,5949,165.25,100,2.78,165,4.58,11,0.31,477,13.25,28,0.78,29,0.81,-,-,64,10.67,-,-,-,-,-,-,-,-,-,-
Kagoshima,11,0.12,705,13.56,722,13.88,464,8.92,9282,178.5,117,2.25,1181,22.71,14,0.27,487,9.37,137,2.63,53,1.02,-,-,62,8.86,2,0.18,7,0.64,-,-,-,-,2,0.18
Okinawa,6,0.11,182,5.52,122,3.7,412,12.48,1267,38.39,83,2.52,1503,45.55,6,0.18,180,5.45,68,2.06,29,0.88,3,0.33,57,6.33,9,1.29,8,1.14,3,0.43,-,-,1,0.14
