"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2019",,,,,,"Data collected as of June 5, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamaguchi,17356,262.97,1160,25.22,293,6.37,2124,46.17,5569,121.07,181,3.93,283,6.15,433,9.41,438,9.52,74,1.61,80,1.74,1,0.11,113,12.56,4,0.44,-,-,46,5.11,-,-,49,5.44
Tokushima,8114,219.3,609,26.48,147,6.39,385,16.74,3504,152.35,81,3.52,184,8,94,4.09,169,7.35,12,0.52,15,0.65,2,0.5,58,14.5,-,-,-,-,7,1,-,-,3,0.43
Kagawa,11240,239.15,253,9.04,271,9.68,1154,41.21,4800,171.43,144,5.14,57,2.04,307,10.96,290,10.36,28,1,116,4.14,4,0.8,23,4.6,1,0.2,2,0.4,14,2.8,1,0.2,16,3.2
Ehime,14710,241.15,262,7.08,282,7.62,2617,70.73,7292,197.08,266,7.19,49,1.32,280,7.57,481,13,15,0.41,95,2.57,1,0.13,500,62.5,-,-,2,0.33,14,2.33,-,-,11,1.83
Kochi,13742,286.29,346,11.53,154,5.13,1588,52.93,3317,110.57,171,5.7,76,2.53,167,5.57,192,6.4,17,0.57,20,0.67,-,-,33,11,2,0.25,-,-,60,7.5,4,0.5,87,10.88
Fukuoka,65558,331.1,1816,15.13,1533,12.78,9795,81.63,20581,171.51,1257,10.48,2864,23.87,2864,23.87,1537,12.81,437,3.64,580,4.83,10,0.38,594,22.85,13,0.87,9,0.6,33,2.2,-,-,91,6.07
Saga,10066,258.1,234,10.17,287,12.48,829,36.04,2407,104.65,195,8.48,605,26.3,403,17.52,326,14.17,82,3.57,20,0.87,1,0.25,37,9.25,1,0.17,4,0.67,15,2.5,-,-,60,10
Nagasaki,21541,312.19,199,4.63,502,11.67,1514,35.21,3599,83.7,242,5.63,575,13.37,397,9.23,397,9.23,91,2.12,74,1.72,4,0.5,127,15.88,5,0.42,13,1.08,30,2.5,-,-,33,2.75
Kumamoto,21729,275.05,571,11.65,485,9.9,2267,46.27,8293,169.24,360,7.35,1219,24.88,323,6.59,761,15.53,336,6.86,110,2.24,1,0.11,424,47.11,3,0.2,9,0.6,14,0.93,-,-,164,10.93
Oita,19231,331.57,329,9.14,478,13.28,1657,46.03,7402,205.61,296,8.22,764,21.22,199,5.53,411,11.42,140,3.89,367,10.19,-,-,111,22.2,2,0.18,6,0.55,31,2.82,-,-,20,1.82
Miyazaki,18223,314.19,262,7.49,510,14.57,2404,68.69,6587,188.2,349,9.97,2234,63.83,523,14.94,510,14.57,629,17.97,95,2.71,-,-,301,50.17,-,-,-,-,-,-,-,-,21,3
Kagoshima,25767,280.08,668,12.37,1243,23.02,2718,50.33,10447,193.46,606,11.22,2967,54.94,262,4.85,483,8.94,537,9.94,152,2.81,1,0.14,294,42,4,0.33,1,0.08,4,0.33,-,-,27,2.25
Okinawa,21286,373.44,329,9.97,284,8.61,1137,34.45,2564,77.7,321,9.73,630,19.09,769,23.3,314,9.52,93,2.82,60,1.82,2,0.25,227,28.38,10,1.43,12,1.71,30,4.29,5,0.71,20,2.86
