"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2016",,,,,,"Data collected as of August 24, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Kagawa,13096,278.64,186,6.64,576,20.57,1543,55.11,6564,234.43,232,8.29,296,10.57,461,16.46,438,15.64,26,0.93,1071,38.25,670,23.93,1,0.2,64,12.8,3,0.6,6,1.2,133,26.6,1,0.2,150,30
Ehime,21148,346.69,489,13.22,433,11.7,3749,101.32,10271,277.59,416,11.24,228,6.16,695,18.78,793,21.43,19,0.51,1650,44.59,425,11.49,4,0.5,493,61.63,1,0.17,4,0.67,76,12.67,-,-,80,13.33
Kochi,14926,310.96,616,20.53,253,8.43,1863,62.1,4744,158.13,244,8.13,237,7.9,229,7.63,331,11.03,76,2.53,655,21.83,606,20.2,-,-,11,3.67,6,0.75,26,3.25,172,21.5,26,3.25,234,29.25
Fukuoka,82131,414.8,3254,27.12,2743,22.86,12220,101.83,29829,248.58,2005,16.71,575,4.79,1901,15.84,2758,22.98,106,0.88,2656,22.13,5577,46.48,14,0.54,949,36.5,21,1.5,90,6.43,815,58.21,1,0.07,25,1.79
Saga,12545,321.67,430,18.7,639,27.78,1431,62.22,2977,129.43,250,10.87,93,4.04,332,14.43,609,26.48,18,0.78,487,21.17,1868,81.22,-,-,93,23.25,2,0.33,10,1.67,123,20.5,-,-,61,10.17
Nagasaki,23943,347,700,15.91,623,14.16,3236,73.55,5938,134.95,579,13.16,150,3.41,390,8.86,650,14.77,8,0.18,346,7.86,1424,32.36,4,0.5,459,57.38,2,0.17,42,3.5,260,21.67,-,-,52,4.33
Kumamoto,22792,288.51,964,19.67,667,13.61,2368,48.33,13343,272.31,426,8.69,447,9.12,1379,28.14,1146,23.39,14,0.29,1424,29.06,2629,53.65,2,0.22,570,63.33,5,0.33,50,3.33,204,13.6,2,0.13,174,11.6
Oita,19670,339.14,637,17.69,597,16.58,4215,117.08,13464,374,749,20.81,175,4.86,673,18.69,891,24.75,43,1.19,1380,38.33,498,13.83,4,0.8,111,22.2,-,-,-,-,207,18.82,2,0.18,18,1.64
Miyazaki,21043,356.66,1011,28.08,691,19.19,3029,84.14,10687,296.86,471,13.08,483,13.42,1082,30.06,1074,29.83,12,0.33,1317,36.58,3610,100.28,8,1.33,616,102.67,2,0.29,25,3.57,160,22.86,-,-,83,11.86
Kagoshima,35216,378.67,1661,30.2,1526,27.75,5411,98.38,14007,254.67,1067,19.4,1842,33.49,801,14.56,810,14.73,34,0.62,890,16.18,3172,57.67,-,-,345,49.29,3,0.25,13,1.08,136,11.33,-,-,126,10.5
Okinawa,26097,449.95,1561,45.91,590,17.35,1105,32.5,4309,126.74,554,16.29,2026,59.59,125,3.68,272,8,167,4.91,265,7.79,1883,55.38,12,1.33,310,34.44,27,3.86,55,7.86,331,47.29,1,0.14,69,9.86
