"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50th week, 2016",,,,,,"Data collected as of December 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Tokushima,9581,258.95,1866,81.13,422,18.35,1271,55.26,9073,394.48,279,12.13,325,14.13,329,14.3,770,33.48,30,1.3,870,37.83,1357,59,1,0.25,27,6.75,2,0.29,2,0.29,56,8,1,0.14,58,8.29
Kagawa,13962,297.06,889,31.75,732,26.14,2333,83.32,10676,381.29,369,13.18,458,16.36,558,19.93,664,23.71,40,1.43,1209,43.18,1287,45.96,4,0.8,94,18.8,6,1.2,11,2.2,254,50.8,2,0.4,152,30.4
Ehime,21951,359.85,1533,41.43,617,16.68,5009,135.38,16046,433.68,599,16.19,1078,29.14,941,25.43,1168,31.57,40,1.08,1932,52.22,973,26.3,5,0.63,756,94.5,4,0.67,5,0.83,193,32.17,-,-,83,13.83
Kochi,15035,313.23,1105,36.83,697,23.23,2441,81.37,6742,224.73,522,17.4,350,11.67,347,11.57,510,17,120,4,789,26.3,937,31.23,-,-,21,7,10,1.25,34,4.25,317,39.63,31,3.88,241,30.13
Fukuoka,85225,430.43,6032,50.27,4142,34.52,17761,148.01,45415,378.46,3005,25.04,3572,29.77,2067,17.23,4158,34.65,177,1.48,3648,30.4,7720,64.33,19,0.73,1338,51.46,33,2.36,139,9.93,1372,98,2,0.14,28,2
Saga,12854,329.59,892,38.78,832,36.17,2027,88.13,4824,209.74,388,16.87,454,19.74,379,16.48,864,37.57,20,0.87,714,31.04,2294,99.74,-,-,201,50.25,2,0.33,17,2.83,188,31.33,-,-,62,10.33
Nagasaki,24523,355.41,1326,30.14,891,20.25,4370,99.32,9630,218.86,784,17.82,769,17.48,414,9.41,945,21.48,12,0.27,680,15.45,2489,56.57,4,0.5,836,104.5,3,0.25,57,4.75,444,37,-,-,53,4.42
Kumamoto,23212,293.82,2372,48.41,968,19.76,3372,68.82,21235,433.37,806,16.45,1949,39.78,1446,29.51,1724,35.18,21,0.43,1968,40.16,4314,88.04,7,0.78,970,107.78,11,0.73,87,5.8,385,25.67,2,0.13,178,11.87
Oita,20194,348.17,1569,43.58,838,23.28,5842,162.28,19458,540.5,1091,30.31,626,17.39,706,19.61,1343,37.31,61,1.69,1843,51.19,841,23.36,4,0.8,150,30,1,0.09,2,0.18,335,30.45,3,0.27,33,3
Miyazaki,21266,360.44,1995,55.42,1037,28.81,3847,106.86,17322,481.17,757,21.03,2278,63.28,1603,44.53,1611,44.75,18,0.5,1753,48.69,4284,119,8,1.6,891,178.2,2,0.29,29,4.14,303,43.29,-,-,84,12
Kagoshima,36201,389.26,2180,39.64,1957,35.58,6733,122.42,22419,407.62,1364,24.8,3997,72.67,921,16.75,1221,22.2,47,0.85,1438,26.15,5184,94.25,-,-,511,73,4,0.33,19,1.58,251,20.92,-,-,128,10.67
Okinawa,32761,564.84,1676,49.29,922,27.12,1568,46.12,6900,202.94,743,21.85,2623,77.15,138,4.06,469,13.79,225,6.62,379,11.15,2097,61.68,18,2,519,57.67,44,6.29,95,13.57,473,67.57,2,0.29,98,14
