"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2021",,,,,,"Data collected as of June 2, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nara,1,0.02,1153,33.91,230,6.76,323,9.5,1906,56.06,40,1.18,18,0.53,4,0.12,260,7.65,11,0.32,18,0.53,1,0.1,39,3.9,4,0.67,3,0.5,1,0.17,-,-,2,0.33
Wakayama,1,0.02,194,6.47,109,3.63,441,14.7,1728,57.6,59,1.97,4,0.13,8,0.27,214,7.13,4,0.13,18,0.6,-,-,15,3.75,10,0.91,2,0.18,10,0.91,-,-,-,-
Tottori,3,0.1,6,0.32,131,6.89,1083,57,1398,73.58,60,3.16,23,1.21,8,0.42,152,8,6,0.32,6,0.32,1,0.2,9,1.8,4,0.8,2,0.4,-,-,-,-,-,-
Shimane,14,0.37,16,0.7,101,4.39,211,9.17,2779,120.83,100,4.35,87,3.78,2,0.09,241,10.48,6,0.26,4,0.17,-,-,2,0.67,5,0.63,8,1,3,0.38,-,-,-,-
Okayama,37,0.44,177,3.28,214,3.96,402,7.44,5089,94.24,96,1.78,54,1,14,0.26,367,6.8,35,0.65,54,1,-,-,16,1.33,2,0.4,1,0.2,2,0.4,-,-,-,-
Hiroshima,17,0.15,857,12.07,357,5.03,651,9.17,7858,110.68,163,2.3,125,1.76,19,0.27,482,6.79,55,0.77,53,0.75,2,0.11,102,5.37,1,0.05,2,0.1,11,0.52,-,-,2,0.1
Yamaguchi,9,0.14,1624,36.09,147,3.27,709,15.76,3415,75.89,85,1.89,18,0.4,19,0.42,474,10.53,9,0.2,34,0.76,-,-,25,2.78,-,-,3,0.33,13,1.44,-,-,-,-
Tokushima,3,0.08,32,1.39,84,3.65,143,6.22,1213,52.74,38,1.65,4,0.17,3,0.13,198,8.61,30,1.3,12,0.52,-,-,7,1.75,-,-,2,0.29,1,0.14,-,-,-,-
Kagawa,2,0.04,35,1.25,215,7.68,302,10.79,2870,102.5,68,2.43,53,1.89,12,0.43,250,8.93,544,19.43,36,1.29,1,0.2,13,2.6,-,-,4,0.8,-,-,-,-,-,-
Ehime,8,0.13,44,1.22,194,5.39,520,14.44,5287,146.86,53,1.47,36,1,17,0.47,441,12.25,125,3.47,34,0.94,1,0.13,132,16.5,1,0.17,3,0.5,1,0.17,-,-,2,0.33
Kochi,2,0.04,63,2.25,109,3.89,172,6.14,2553,91.18,83,2.96,91,3.25,23,0.82,213,7.61,317,11.32,13,0.46,-,-,8,2.67,2,0.25,1,0.13,5,0.63,-,-,2,0.25
Fukuoka,5,0.03,8373,69.78,949,7.91,5754,47.95,8468,70.57,391,3.26,129,1.08,61,0.51,1518,12.65,50,0.42,141,1.18,5,0.19,130,5,9,0.64,7,0.5,8,0.57,-,-,-,-
Saga,-,-,1670,72.61,230,10,551,23.96,607,26.39,60,2.61,39,1.7,6,0.26,359,15.61,9,0.39,9,0.39,-,-,5,1.25,3,0.5,2,0.33,5,0.83,-,-,-,-
Nagasaki,6,0.09,2368,55.07,237,5.51,1370,31.86,1771,41.19,157,3.65,60,1.4,12,0.28,348,8.09,11,0.26,40,0.93,-,-,8,1,5,0.42,6,0.5,30,2.5,-,-,1,0.08
Kumamoto,3,0.04,2924,58.48,253,5.06,477,9.54,3033,60.66,126,2.52,269,5.38,33,0.66,717,14.34,83,1.66,36,0.72,-,-,100,11.11,-,-,6,0.4,2,0.13,-,-,1,0.07
Oita,2,0.03,576,16,163,4.53,359,9.97,3808,105.78,205,5.69,16,0.44,15,0.42,418,11.61,19,0.53,39,1.08,-,-,17,3.4,-,-,1,0.09,17,1.55,-,-,-,-
Miyazaki,1,0.02,3101,86.14,321,8.92,1058,29.39,4845,134.58,100,2.78,144,4,16,0.44,496,13.78,45,1.25,26,0.72,-,-,63,10.5,-,-,-,-,-,-,-,-,-,-
Kagoshima,6,0.07,913,16.91,849,15.72,996,18.44,6960,128.89,220,4.07,113,2.09,15,0.28,414,7.67,30,0.56,55,1.02,-,-,50,7.14,2,0.17,2,0.17,1,0.08,-,-,1,0.08
Okinawa,13,0.23,306,9,325,9.56,620,18.24,1116,32.82,170,5,79,2.32,1,0.03,181,5.32,61,1.79,39,1.15,1,0.11,110,12.22,10,1.43,8,1.14,1,0.14,-,-,1,0.14
