"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2022",,,,,,"Data collected as of January 26, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Wakayama,-,-,3,0.1,19,0.63,36,1.2,564,18.8,18,0.6,37,1.23,-,-,22,0.73,7,0.23,3,0.1,-,-,3,0.75,-,-,-,-,1,0.09,-,-,-,-
Tottori,1,0.03,2,0.11,16,0.84,120,6.32,263,13.84,9,0.47,112,5.89,1,0.05,12,0.63,16,0.84,-,-,-,-,3,0.6,1,0.2,1,0.2,-,-,-,-,-,-
Shimane,-,-,-,-,8,0.35,21,0.91,270,11.74,3,0.13,181,7.87,-,-,26,1.13,11,0.48,1,0.04,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Okayama,8,0.1,16,0.3,30,0.56,27,0.5,1171,21.69,26,0.48,39,0.72,2,0.04,41,0.76,3,0.06,2,0.04,1,0.08,1,0.08,-,-,-,-,-,-,-,-,-,-
Hiroshima,5,0.04,156,2.2,57,0.8,45,0.63,1466,20.65,16,0.23,203,2.86,2,0.03,46,0.65,19,0.27,3,0.04,-,-,16,0.84,-,-,1,0.05,-,-,-,-,-,-
Yamaguchi,4,0.06,33,0.72,26,0.57,86,1.87,736,16,9,0.2,35,0.76,1,0.02,41,0.89,9,0.2,3,0.07,-,-,2,0.22,-,-,-,-,-,-,-,-,-,-
Tokushima,-,-,2,0.09,15,0.65,12,0.52,437,19,5,0.22,56,2.43,-,-,22,0.96,1,0.04,-,-,-,-,2,0.5,-,-,-,-,-,-,-,-,-,-
Kagawa,-,-,1,0.04,22,0.79,28,1,693,24.75,16,0.57,55,1.96,-,-,30,1.07,7,0.25,4,0.14,-,-,1,0.2,-,-,-,-,-,-,-,-,1,0.2
Ehime,1,0.02,5,0.14,21,0.57,65,1.76,913,24.68,11,0.3,35,0.95,-,-,38,1.03,5,0.14,4,0.11,-,-,15,1.88,-,-,-,-,-,-,-,-,2,0.33
Kochi,6,0.13,-,-,20,0.71,38,1.36,410,14.64,8,0.29,2,0.07,2,0.07,25,0.89,1,0.04,1,0.04,-,-,1,0.33,-,-,-,-,-,-,-,-,1,0.13
Fukuoka,2,0.01,593,4.94,131,1.09,539,4.49,3234,26.95,48,0.4,91,0.76,3,0.03,174,1.45,7,0.06,14,0.12,-,-,10,0.38,-,-,2,0.13,-,-,-,-,-,-
Saga,-,-,107,4.65,29,1.26,39,1.7,715,31.09,14,0.61,55,2.39,1,0.04,43,1.87,3,0.13,-,-,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Nagasaki,4,0.06,439,9.98,44,1,237,5.39,877,19.93,19,0.43,20,0.45,1,0.02,41,0.93,3,0.07,1,0.02,2,0.25,13,1.63,1,0.08,-,-,-,-,-,-,1,0.08
Kumamoto,2,0.03,338,6.9,29,0.59,26,0.53,1590,32.45,24,0.49,96,1.96,-,-,73,1.49,42,0.86,-,-,-,-,18,2,1,0.07,-,-,-,-,-,-,-,-
Oita,3,0.05,34,0.94,22,0.61,29,0.81,1426,39.61,20,0.56,55,1.53,2,0.06,57,1.58,3,0.08,2,0.06,-,-,-,-,-,-,1,0.09,-,-,-,-,-,-
Miyazaki,2,0.03,248,6.89,46,1.28,216,6,1207,33.53,31,0.86,49,1.36,3,0.08,60,1.67,8,0.22,8,0.22,-,-,10,1.67,-,-,-,-,-,-,-,-,-,-
Kagoshima,10,0.11,291,5.49,132,2.49,90,1.7,1379,26.02,21,0.4,393,7.42,2,0.04,64,1.21,42,0.79,8,0.15,-,-,4,0.57,-,-,1,0.09,-,-,-,-,1,0.09
Okinawa,2,0.04,132,4,28,0.85,82,2.48,129,3.91,12,0.36,142,4.3,-,-,26,0.79,21,0.64,1,0.03,-,-,3,0.33,1,0.14,-,-,-,-,-,-,-,-
