"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26th week, 2017",,,,,,"Data collected as of July 5, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,26931,236.24,461,6.49,1202,16.93,4694,66.11,9976,140.51,597,8.41,2764,38.93,186,2.62,730,10.28,27,0.38,245,3.45,741,10.44,2,0.11,408,21.47,5,0.25,2,0.1,97,4.85,1,0.05,108,5.4
Yamaguchi,19634,288.74,512,10.67,673,14.02,2948,61.42,5881,122.52,369,7.69,1027,21.4,125,2.6,679,14.15,23,0.48,305,6.35,2201,45.85,-,-,174,19.33,5,0.56,2,0.22,102,11.33,1,0.11,87,9.67
Tokushima,8434,227.95,284,12.35,321,13.96,1239,53.87,3469,150.83,119,5.17,234,10.17,56,2.43,390,16.96,7,0.3,157,6.83,476,20.7,1,0.25,15,3.75,-,-,1,0.17,10,1.67,-,-,12,2
Kagawa,9049,192.53,247,8.82,388,13.86,1732,61.86,6145,219.46,158,5.64,1269,45.32,56,2,364,13,11,0.39,291,10.39,677,24.18,2,0.4,41,8.2,3,0.6,4,0.8,50,10,-,-,151,30.2
Ehime,16493,270.38,202,5.46,301,8.14,2773,74.95,8271,223.54,299,8.08,1070,28.92,225,6.08,625,16.89,8,0.22,124,3.35,1677,45.32,-,-,302,37.75,2,0.33,1,0.17,47,7.83,-,-,31,5.17
Kochi,14629,304.77,224,7.47,198,6.6,1599,53.3,3460,115.33,349,11.63,1312,43.73,87,2.9,285,9.5,16,0.53,189,6.3,152,5.07,-,-,10,3.33,2,0.25,4,0.5,66,8.25,6,0.75,85,10.63
Fukuoka,71986,363.57,1244,10.37,1794,14.95,11850,98.75,27363,228.03,1830,15.25,4178,34.82,237,1.98,2086,17.38,69,0.58,2683,22.36,2202,18.35,-,-,378,14.54,13,0.87,18,1.2,279,18.6,-,-,50,3.33
Saga,12734,335.11,217,9.86,430,19.55,1302,59.18,3408,154.91,290,13.18,1261,57.32,33,1.5,433,19.68,2,0.09,185,8.41,161,7.32,-,-,40,13.33,5,0.83,5,0.83,29,4.83,1,0.17,123,20.5
Nagasaki,22432,320.46,252,5.73,339,7.7,3776,85.82,5570,126.59,309,7.02,1105,25.11,27,0.61,507,11.52,14,0.32,173,3.93,520,11.82,5,0.63,58,7.25,1,0.08,9,0.75,73,6.08,-,-,110,9.17
Kumamoto,24090,301.13,234,4.68,648,12.96,3174,63.48,11162,223.24,581,11.62,1905,38.1,76,1.52,932,18.64,4,0.08,714,14.28,841,16.82,3,0.33,299,33.22,14,0.93,18,1.2,71,4.73,-,-,117,7.8
Oita,19952,344,137,3.81,403,11.19,3448,95.78,12600,350,467,12.97,747,20.75,27,0.75,667,18.53,15,0.42,322,8.94,459,12.75,-,-,91,18.2,1,0.09,1,0.09,75,6.82,1,0.09,43,3.91
Miyazaki,23025,396.98,414,11.83,667,19.06,2343,66.94,9097,259.91,567,16.2,2304,65.83,273,7.8,761,21.74,4,0.11,298,8.51,246,7.03,2,0.4,253,50.6,-,-,1,0.14,21,3,-,-,114,16.29
Kagoshima,27289,293.43,925,16.82,1715,31.18,2709,49.25,13028,236.87,604,10.98,1594,28.98,74,1.35,560,10.18,8,0.15,338,6.15,2468,44.87,-,-,220,31.43,6,0.5,8,0.67,26,2.17,-,-,109,9.08
Okinawa,22639,397.18,1430,42.06,491,14.44,939,27.62,3897,114.62,463,13.62,245,7.21,38,1.12,248,7.29,67,1.97,148,4.35,119,3.5,2,0.22,174,19.33,10,1.43,45,6.43,111,15.86,-,-,85,12.14
