"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12th week, 2020",,,,,,"Data collected as of March 25, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Okayama,11973,142.54,98,1.81,304,5.63,788,14.59,3529,65.35,184,3.41,22,0.41,211,3.91,117,2.17,9,0.17,27,0.5,2,0.17,19,1.58,3,0.6,1,0.2,13,2.6,-,-,1,0.2
Hiroshima,10496,92.88,256,3.66,550,7.86,1501,21.44,4585,65.5,231,3.3,70,1,261,3.73,209,2.99,19,0.27,48,0.69,1,0.06,104,5.78,2,0.1,-,-,41,2.05,-,-,6,0.3
Yamaguchi,5469,81.63,397,8.63,156,3.39,1067,23.2,2738,59.52,158,3.43,96,2.09,255,5.54,243,5.28,18,0.39,22,0.48,-,-,26,2.89,-,-,3,0.33,30,3.33,-,-,9,1
Tokushima,3089,83.49,91,3.96,82,3.57,199,8.65,1607,69.87,85,3.7,18,0.78,95,4.13,73,3.17,-,-,7,0.3,-,-,10,2.5,2,0.29,-,-,29,4.14,-,-,1,0.14
Kagawa,4988,106.13,99,3.54,139,4.96,684,24.43,3119,111.39,116,4.14,25,0.89,187,6.68,116,4.14,12,0.43,7,0.25,1,0.2,4,0.8,1,0.2,3,0.6,30,6,-,-,2,0.4
Ehime,8093,132.67,91,2.46,103,2.78,1550,41.89,3173,85.76,109,2.95,51,1.38,247,6.68,197,5.32,8,0.22,160,4.32,-,-,126,15.75,-,-,-,-,24,4,-,-,4,0.67
Kochi,7086,147.63,146,4.87,75,2.5,898,29.93,1146,38.2,51,1.7,99,3.3,142,4.73,79,2.63,8,0.27,38,1.27,-,-,6,2,1,0.13,-,-,30,3.75,-,-,4,0.5
Fukuoka,24753,125.02,479,3.99,844,7.03,8374,69.78,9095,75.79,1076,8.97,456,3.8,919,7.66,658,5.48,73,0.61,163,1.36,1,0.04,135,5.19,3,0.2,6,0.4,63,4.2,-,-,1,0.07
Saga,4813,123.41,50,2.17,227,9.87,936,40.7,1311,57,136,5.91,179,7.78,238,10.35,106,4.61,8,0.35,3,0.13,-,-,8,2.67,4,0.67,2,0.33,15,2.5,-,-,1,0.17
Nagasaki,9812,140.17,69,1.57,325,7.39,1422,32.32,2965,67.39,255,5.8,141,3.2,336,7.64,152,3.45,8,0.18,23,0.52,1,0.13,29,3.63,1,0.08,1,0.08,52,4.33,-,-,3,0.25
Kumamoto,6604,82.55,122,2.44,301,6.02,1314,26.28,2883,57.66,287,5.74,284,5.68,683,13.66,266,5.32,71,1.42,33,0.66,-,-,113,14.13,1,0.07,1,0.07,25,1.67,-,-,4,0.27
Oita,6906,119.07,106,2.94,147,4.08,951,26.42,3897,108.25,223,6.19,73,2.03,409,11.36,207,5.75,8,0.22,42,1.17,1,0.2,20,4,-,-,1,0.09,30,2.73,-,-,-,-
Miyazaki,8202,139.02,42,1.17,273,7.58,1510,41.94,4228,117.44,219,6.08,83,2.31,332,9.22,235,6.53,14,0.39,16,0.44,-,-,52,8.67,2,0.29,-,-,5,0.71,-,-,3,0.43
Kagoshima,11126,122.26,184,3.47,794,14.98,1728,32.6,5245,98.96,264,4.98,181,3.42,339,6.4,238,4.49,22,0.42,37,0.7,-,-,66,9.43,2,0.17,-,-,11,0.92,-,-,1,0.08
Okinawa,8054,141.3,16,0.48,154,4.67,1075,32.58,1129,34.21,295,8.94,56,1.7,28,0.85,96,2.91,49,1.48,27,0.82,-,-,103,11.44,6,0.86,8,1.14,33,4.71,2,0.29,40,5.71
