"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2016",,,,,,"Data collected as of February 3, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,3538,31.04,207,2.92,122,1.72,600,8.45,2161,30.44,140,1.97,12,0.17,349,4.92,93,1.31,6,0.08,7,0.1,247,3.48,2,0.11,71,3.74,2,0.1,-,-,50,2.38,-,-,29,1.38
Yamaguchi,2751,39.87,392,8.17,78,1.63,563,11.73,1539,32.06,68,1.42,35,0.73,222,4.63,103,2.15,3,0.06,6,0.13,150,3.13,-,-,51,5.67,-,-,-,-,14,1.56,-,-,7,0.78
Tokushima,722,19,252,10.96,40,1.74,115,5,1051,45.7,37,1.61,2,0.09,38,1.65,51,2.22,1,0.04,2,0.09,30,1.3,-,-,5,1.25,-,-,-,-,2,0.29,-,-,19,2.71
Kagawa,1023,21.77,131,4.68,90,3.21,158,5.64,992,35.43,36,1.29,-,-,69,2.46,46,1.64,1,0.04,-,-,40,1.43,-,-,8,1.6,1,0.2,-,-,15,3,-,-,20,4
Ehime,781,12.8,262,7.08,46,1.24,515,13.92,1890,51.08,53,1.43,8,0.22,113,3.05,96,2.59,3,0.08,2,0.05,46,1.24,1,0.13,68,8.5,-,-,-,-,4,0.67,-,-,1,0.17
Kochi,405,8.44,150,5,10,0.33,263,8.77,1079,35.97,42,1.4,2,0.07,27,0.9,36,1.2,4,0.13,-,-,82,2.73,-,-,1,0.33,-,-,2,0.25,25,3.13,9,1.13,30,3.75
Fukuoka,10279,51.91,580,4.83,369,3.08,1575,13.13,4059,33.83,425,3.54,18,0.15,396,3.3,341,2.84,5,0.04,7,0.06,791,6.59,7,0.27,210,8.08,2,0.14,11,0.79,98,7,-,-,1,0.07
Saga,1172,30.05,130,5.65,47,2.04,196,8.52,407,17.7,48,2.09,5,0.22,124,5.39,72,3.13,-,-,-,-,348,15.13,-,-,9,2.25,-,-,1,0.17,16,2.67,-,-,6,1
Nagasaki,2610,37.29,242,5.5,55,1.25,441,10.02,840,19.09,95,2.16,12,0.27,132,3,50,1.14,-,-,5,0.11,241,5.48,-,-,77,9.63,-,-,6,0.5,35,2.92,-,-,4,0.33
Kumamoto,1966,24.58,367,7.34,91,1.82,358,7.16,2542,50.84,59,1.18,20,0.4,453,9.06,120,2.4,3,0.06,14,0.28,306,6.12,-,-,123,13.67,1,0.07,4,0.27,27,1.8,2,0.13,27,1.8
Oita,2045,35.26,127,3.53,67,1.86,508,14.11,1664,46.22,99,2.75,6,0.17,299,8.31,85,2.36,6,0.17,-,-,42,1.17,-,-,23,4.6,-,-,-,-,14,1.27,-,-,-,-
Miyazaki,1796,30.44,241,6.69,109,3.03,402,11.17,1461,40.58,74,2.06,13,0.36,178,4.94,132,3.67,1,0.03,6,0.17,428,11.89,2,0.33,103,17.17,-,-,1,0.14,12,1.71,-,-,2,0.29
Kagoshima,2568,27.61,290,5.27,198,3.6,850,15.45,2263,41.15,141,2.56,8,0.15,202,3.67,99,1.8,6,0.11,20,0.36,238,4.33,-,-,30,4.29,-,-,1,0.08,6,0.5,-,-,3,0.25
Okinawa,4230,72.93,40,1.18,25,0.74,120,3.53,702,20.65,69,2.03,3,0.09,15,0.44,30,0.88,26,0.76,7,0.21,361,10.62,4,0.44,33,3.67,2,0.29,2,0.29,28,4,-,-,2,0.29
