"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2015",,,,,,"Data collected as of November 11, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,29875,262.06,1774,24.99,1547,21.79,8094,114,20486,288.54,1080,15.21,6070,85.49,651,9.17,1520,21.41,81,1.14,2116,29.8,2715,38.24,13,0.72,720,40,3,0.14,31,1.48,217,10.33,7,0.33,121,5.76
Yamaguchi,22625,332.72,1867,39.72,481,10.23,6837,145.47,13118,279.11,1038,22.09,5887,125.26,535,11.38,1447,30.79,17,0.36,1140,24.26,303,6.45,1,0.11,221,24.56,3,0.38,2,0.25,93,11.63,-,-,43,5.38
Tokushima,8490,229.46,1044,45.39,344,14.96,1208,52.52,5867,255.09,430,18.7,4181,181.78,112,4.87,753,32.74,14,0.61,417,18.13,111,4.83,-,-,20,5,3,0.43,3,0.43,32,4.57,-,-,32,4.57
Kagawa,10111,215.13,560,20,572,20.43,1789,63.89,6737,240.61,375,13.39,4555,162.68,465,16.61,697,24.89,33,1.18,936,33.43,230,8.21,7,1.4,77,15.4,1,0.2,10,2,174,34.8,3,0.6,66,13.2
Ehime,14768,242.1,1026,27.73,324,8.76,4948,133.73,12798,345.89,542,14.65,3166,85.57,270,7.3,1160,31.35,18,0.49,2348,63.46,611,16.51,2,0.25,586,73.25,2,0.33,3,0.5,32,5.33,-,-,16,2.67
Kochi,15334,319.46,974,32.47,137,4.57,2378,79.27,5157,171.9,480,16,2467,82.23,164,5.47,567,18.9,16,0.53,959,31.97,667,22.23,-,-,14,4.67,10,1.25,13,1.63,257,32.13,43,5.38,76,9.5
Fukuoka,66521,335.96,5411,45.09,3063,25.53,17270,143.92,39739,331.16,2933,24.44,17194,143.28,4653,38.78,4235,35.29,128,1.07,6985,58.21,5109,42.58,36,1.38,1679,64.58,29,2.07,89,6.36,305,21.79,3,0.21,30,2.14
Saga,12774,336.16,755,32.83,388,16.87,1870,81.3,5142,223.57,521,22.65,3330,144.78,721,31.35,756,32.87,8,0.35,1117,48.57,1933,84.04,-,-,59,14.75,5,0.83,16,2.67,152,25.33,-,-,88,14.67
Nagasaki,21907,317.49,1179,26.8,432,9.82,4844,110.09,9917,225.39,593,13.48,4253,96.66,1297,29.48,902,20.5,10,0.23,659,14.98,1849,42.02,19,2.38,419,52.38,7,0.58,37,3.08,207,17.25,-,-,85,7.08
Kumamoto,26139,326.74,1243,24.86,708,14.16,2831,56.62,19905,398.1,886,17.72,6444,128.88,916,18.32,1734,34.68,24,0.48,1967,39.34,1260,25.2,1,0.11,1288,143.11,4,0.27,47,3.13,172,11.47,-,-,79,5.27
Oita,22741,392.09,1169,32.47,598,16.61,4286,119.06,18732,520.33,1234,34.28,5448,151.33,2246,62.39,1447,40.19,43,1.19,2229,61.92,826,22.94,-,-,261,52.2,1,0.09,6,0.55,89,8.09,-,-,52,4.73
Miyazaki,25640,434.58,2176,60.44,1142,31.72,3228,89.67,15094,419.28,1115,30.97,5748,159.67,317,8.81,1598,44.39,16,0.44,2096,58.22,635,17.64,5,0.83,774,129,1,0.14,13,1.86,19,2.71,1,0.14,34,4.86
Kagoshima,32812,352.82,2050,37.27,1584,28.8,8260,150.18,20794,378.07,1182,21.49,6602,120.04,2037,37.04,1296,23.56,74,1.35,1986,36.11,715,13,1,0.14,280,40,6,0.5,3,0.25,70,5.83,-,-,28,2.33
Okinawa,30362,523.48,1833,53.91,824,24.24,1755,51.62,4170,122.65,960,28.24,2377,69.91,318,9.35,539,15.85,165,4.85,398,11.71,4040,118.82,28,2.8,382,38.2,35,5,88,12.57,137,19.57,6,0.86,79,11.29
