"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2016",,,,,,"Data collected as of June 8, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,35399,310.52,510,7.18,796,11.21,3411,48.04,12068,169.97,528,7.44,73,1.03,1181,16.63,634,8.93,29,0.41,429,6.04,991,13.96,5,0.28,303,16.83,4,0.19,2,0.1,140,6.67,1,0.05,371,17.67
Yamaguchi,24666,362.74,796,16.58,349,7.27,3288,68.5,6933,144.44,307,6.4,73,1.52,806,16.79,535,11.15,15,0.31,229,4.77,720,15,2,0.22,106,11.78,3,0.33,-,-,84,9.33,-,-,104,11.56
Tokushima,9409,254.3,563,24.48,278,12.09,633,27.52,4007,174.22,126,5.48,9,0.39,157,6.83,313,13.61,4,0.17,29,1.26,278,12.09,1,0.25,14,3.5,1,0.14,1,0.14,17,2.43,-,-,56,8
Kagawa,13088,278.47,164,5.86,396,14.14,1032,36.86,4948,176.71,163,5.82,119,4.25,351,12.54,270,9.64,15,0.54,234,8.36,276,9.86,1,0.2,37,7.4,2,0.4,4,0.8,55,11,1,0.2,149,29.8
Ehime,21141,346.57,467,12.62,241,6.51,2571,69.49,7606,205.57,255,6.89,40,1.08,435,11.76,514,13.89,15,0.41,46,1.24,181,4.89,2,0.25,328,41,1,0.17,3,0.5,34,5.67,-,-,78,13
Kochi,14926,310.96,575,19.17,87,2.9,1491,49.7,3895,129.83,153,5.1,40,1.33,145,4.83,204,6.8,47,1.57,38,1.27,369,12.3,-,-,11,3.67,2,0.25,8,1,109,13.63,24,3,229,28.63
Fukuoka,82085,414.57,2242,18.68,1699,14.16,8785,73.21,21632,180.27,1467,12.23,184,1.53,1505,12.54,1804,15.03,63,0.53,494,4.12,3346,27.88,12,0.46,635,24.42,13,0.93,44,3.14,433,30.93,1,0.07,25,1.79
Saga,12525,321.15,390,16.96,497,21.61,1017,44.22,2416,105.04,180,7.83,35,1.52,316,13.74,394,17.13,8,0.35,115,5,1293,56.22,-,-,71,17.75,1,0.17,4,0.67,81,13.5,-,-,59,9.83
Nagasaki,23933,346.86,600,13.64,346,7.86,2481,56.39,4348,98.82,431,9.8,60,1.36,341,7.75,379,8.61,6,0.14,69,1.57,959,21.8,3,0.38,337,42.13,2,0.17,23,1.92,132,11,-,-,50,4.17
Kumamoto,22769,288.22,787,16.06,500,10.2,1576,32.16,10167,207.49,306,6.24,106,2.16,1248,25.47,689,14.06,13,0.27,138,2.82,1584,32.33,-,-,479,53.22,3,0.2,29,1.93,103,6.87,2,0.13,169,11.27
Oita,19603,337.98,607,16.86,389,10.81,3015,83.75,9544,265.11,570,15.83,61,1.69,641,17.81,562,15.61,25,0.69,74,2.06,306,8.5,2,0.4,87,17.4,-,-,-,-,86,7.82,-,-,18,1.64
Miyazaki,21030,356.44,767,21.31,487,13.53,2152,59.78,8229,228.58,292,8.11,115,3.19,633,17.58,709,19.69,8,0.22,47,1.31,2457,68.25,8,1.33,474,79,2,0.29,17,2.43,69,9.86,-,-,81,11.57
Kagoshima,35056,376.95,1230,22.36,1038,18.87,4188,76.15,10880,197.82,821,14.93,148,2.69,612,11.13,528,9.6,20,0.36,65,1.18,1885,34.27,-,-,133,19,3,0.25,4,0.33,63,5.25,-,-,123,10.25
Okinawa,25544,440.41,990,29.12,234,6.88,849,24.97,2708,79.65,413,12.15,516,15.18,98,2.88,165,4.85,103,3.03,80,2.35,1573,46.26,7,0.78,171,19,18,2.57,31,4.43,179,25.57,1,0.14,48,6.86
