"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40th week, 2022",,,,,,"Data collected as of October 12, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,-,-,977,44.41,144,6.55,175,7.95,3830,174.09,75,3.41,898,40.82,3,0.14,386,17.55,66,3,20,0.91,-,-,3,1,13,1.63,6,0.75,-,-,-,-,1,0.13
Okayama,60,0.71,1003,18.57,285,5.28,254,4.7,9127,169.02,146,2.7,667,12.35,34,0.63,619,11.46,207,3.83,86,1.59,3,0.25,29,2.42,7,1.4,2,0.4,4,0.8,-,-,-,-
Hiroshima,23,0.2,2524,35.55,742,10.45,524,7.38,12103,170.46,148,2.08,2384,33.58,27,0.38,749,10.55,555,7.82,68,0.96,3,0.16,187,9.84,2,0.1,5,0.25,3,0.15,-,-,2,0.1
Yamaguchi,13,0.2,2011,44.69,282,6.27,962,21.38,6950,154.44,111,2.47,555,12.33,17,0.38,645,14.33,443,9.84,41,0.91,-,-,76,8.44,1,0.11,-,-,8,0.89,-,-,-,-
Tokushima,2,0.05,783,34.04,190,8.26,88,3.83,3191,138.74,48,2.09,273,11.87,4,0.17,323,14.04,49,2.13,13,0.57,-,-,6,1.5,4,0.57,4,0.57,2,0.29,-,-,-,-
Kagawa,3,0.06,646,23.07,258,9.21,181,6.46,5937,212.04,85,3.04,256,9.14,16,0.57,454,16.21,47,1.68,47,1.68,1,0.2,21,4.2,1,0.2,2,0.4,1,0.2,-,-,1,0.2
Ehime,16,0.27,1955,54.31,231,6.42,540,15,8865,246.25,115,3.19,367,10.19,22,0.61,663,18.42,88,2.44,56,1.56,-,-,220,31.43,1,0.17,1,0.17,1,0.17,-,-,4,0.67
Kochi,17,0.38,642,23.78,283,10.48,243,9,2909,107.74,108,4,216,8,19,0.7,351,13,87,3.22,21,0.78,-,-,16,5.33,5,0.63,-,-,6,0.75,-,-,9,1.13
Fukuoka,189,0.96,5316,44.3,1237,10.31,4331,36.09,25965,216.38,454,3.78,2366,19.72,57,0.48,2385,19.88,859,7.16,183,1.53,4,0.15,114,4.38,5,0.33,15,1,2,0.13,-,-,-,-
Saga,17,0.45,913,41.5,303,13.77,308,14,3202,145.55,73,3.32,458,20.82,10,0.45,558,25.36,68,3.09,17,0.77,1,0.25,14,3.5,5,0.83,6,1,3,0.5,-,-,4,0.67
Nagasaki,9,0.13,1290,30,361,8.4,1838,42.74,4916,114.33,104,2.42,1291,30.02,29,0.67,576,13.4,129,3,41,0.95,10,1.43,78,11.14,12,1,4,0.33,3,0.25,-,-,4,0.33
Kumamoto,46,0.59,1120,22.86,305,6.22,277,5.65,10304,210.29,175,3.57,1176,24,34,0.69,1114,22.73,355,7.24,39,0.8,-,-,133,14.78,2,0.13,10,0.67,2,0.13,-,-,4,0.27
Oita,22,0.38,1889,52.47,287,7.97,414,11.5,12069,335.25,142,3.94,1218,33.83,26,0.72,679,18.86,191,5.31,58,1.61,-,-,40,8,1,0.09,1,0.09,8,0.73,-,-,-,-
Miyazaki,20,0.35,1990,55.28,371,10.31,638,17.72,8201,227.81,149,4.14,1078,29.94,17,0.47,805,22.36,105,2.92,36,1,4,0.67,94,15.67,-,-,1,0.14,-,-,-,-,-,-
Kagoshima,28,0.31,1060,20,1006,18.98,630,11.89,12148,229.21,150,2.83,2770,52.26,24,0.45,824,15.55,447,8.43,86,1.62,-,-,91,13,2,0.18,8,0.73,-,-,-,-,4,0.36
Okinawa,288,5.14,626,18.97,200,6.06,721,21.85,2439,73.91,127,3.85,2538,76.91,13,0.39,302,9.15,173,5.24,43,1.3,4,0.44,113,12.56,14,2,36,5.14,3,0.43,-,-,1,0.14
