"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52nd week, 2018",,,,,,"Data collected as of January 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Tottori,11226,387.1,626,32.95,452,23.79,4502,236.95,6355,334.47,191,10.05,597,31.42,23,1.21,422,22.21,508,26.74,55,2.89,3,0.6,150,30,9,1.8,19,3.8,27,5.4,1,0.2,62,12.4
Shimane,10391,280.84,903,41.05,361,16.41,2482,112.82,6803,309.23,267,12.14,1241,56.41,21,0.95,630,28.64,413,18.77,211,9.59,-,-,31,10.33,14,1.75,53,6.63,23,2.88,-,-,78,9.75
Okayama,29558,351.88,1280,23.7,700,12.96,4473,82.83,18359,339.98,797,14.76,944,17.48,257,4.76,1044,19.33,814,15.07,295,5.46,16,1.33,470,39.17,7,1.4,4,0.8,23,4.6,-,-,30,6
Hiroshima,35573,312.04,2528,35.61,1679,23.65,7063,99.48,23724,334.14,920,12.96,2815,39.65,191,2.69,1274,17.94,1764,24.85,423,5.96,22,1.16,858,45.16,7,0.35,6,0.3,89,4.45,2,0.1,382,19.1
Yamaguchi,27595,411.87,2778,59.11,846,18,6955,147.98,13008,276.77,637,13.55,2863,60.91,198,4.21,1225,26.06,1427,30.36,291,6.19,2,0.22,315,35,7,0.78,6,0.67,47,5.22,-,-,107,11.89
Tokushima,12318,332.92,1684,73.22,466,20.26,1729,75.17,6511,283.09,259,11.26,1212,52.7,200,8.7,848,36.87,817,35.52,110,4.78,-,-,58,14.5,4,0.57,3,0.43,26,3.71,1,0.14,2,0.29
Kagawa,16729,363.67,1317,48.78,589,21.81,2592,96,9671,358.19,357,13.22,743,27.52,101,3.74,754,27.93,1350,50,248,9.19,5,1,175,35,7,1.4,6,1.2,36,7.2,1,0.2,44,8.8
Ehime,24123,402.05,2148,59.67,598,16.61,5075,140.97,13867,385.19,514,14.28,3106,86.28,153,4.25,1208,33.56,1094,30.39,286,7.94,2,0.29,813,116.14,1,0.17,2,0.33,147,24.5,-,-,48,8
Kochi,21771,453.56,1150,38.33,531,17.7,1979,65.97,5031,167.7,288,9.6,1185,39.5,206,6.87,544,18.13,477,15.9,73,2.43,-,-,115,38.33,5,0.63,1,0.13,104,13,20,2.5,35,4.38
Fukuoka,96904,491.9,6577,55.27,4511,37.91,19797,166.36,48823,410.28,2772,23.29,11507,96.7,864,7.26,4098,34.44,3367,28.29,1826,15.34,16,0.62,1937,74.5,31,2.07,43,2.87,171,11.4,-,-,80,5.33
Saga,16291,428.71,1173,53.32,864,39.27,1728,78.55,5542,251.91,353,16.05,1464,66.55,134,6.09,766,34.82,1217,55.32,93,4.23,4,1.33,120,40,5,0.83,19,3.17,41,6.83,1,0.17,56,9.33
Nagasaki,28594,414.41,1761,40.02,979,22.25,5033,114.39,10778,244.95,710,16.14,2800,63.64,147,3.34,977,22.2,832,18.91,155,3.52,9,1.13,330,41.25,15,1.25,34,2.83,93,7.75,-,-,98,8.17
Kumamoto,32760,409.5,2273,45.46,1008,20.16,3873,77.46,18800,376,595,11.9,4756,95.12,85,1.7,1723,34.46,1738,34.76,282,5.64,4,0.44,860,95.56,10,0.67,28,1.87,36,2.4,-,-,44,2.93
Oita,28568,492.55,1407,39.08,704,19.56,2981,82.81,21337,592.69,1056,29.33,5240,145.56,52,1.44,1136,31.56,1228,34.11,939,26.08,3,0.6,238,47.6,2,0.18,4,0.36,70,6.36,-,-,26,2.36
Miyazaki,28519,491.71,2606,74.46,1403,40.09,3920,112,18551,530.03,760,21.71,5643,161.23,166,4.74,1564,44.69,1115,31.86,1243,35.51,1,0.17,912,152,3,0.43,-,-,5,0.71,-,-,156,22.29
Kagoshima,43914,477.33,3327,61.61,3238,59.96,7534,139.52,20856,386.22,1049,19.43,5057,93.65,223,4.13,1321,24.46,1170,21.67,1348,24.96,1,0.14,511,73,7,0.58,6,0.5,18,1.5,-,-,15,1.25
Okinawa,32178,564.53,2494,73.35,970,28.53,2555,75.15,6616,194.59,897,26.38,2810,82.65,269,7.91,747,21.97,368,10.82,197,5.79,13,1.44,1024,113.78,31,4.43,61,8.71,47,6.71,4,0.57,43,6.14
