"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2016",,,,,,"Data collected as of August 10, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Okayama,22412,266.81,308,5.7,507,9.39,1864,34.52,10149,187.94,453,8.39,254,4.7,602,11.15,600,11.11,10,0.19,1450,26.85,2198,40.7,4,0.33,124,10.33,5,1,9,1.8,32,6.4,-,-,25,5
Hiroshima,35406,310.58,689,9.7,1404,19.77,4844,68.23,15176,213.75,783,11.03,186,2.62,1598,22.51,910,12.82,65,0.92,1252,17.63,1493,21.03,6,0.33,429,23.83,6,0.29,6,0.29,222,10.57,3,0.14,381,18.14
Yamaguchi,24668,362.76,925,19.27,517,10.77,4627,96.4,9023,187.98,399,8.31,210,4.38,1133,23.6,815,16.98,25,0.52,853,17.77,959,19.98,2,0.22,129,14.33,4,0.44,-,-,157,17.44,-,-,106,11.78
Tokushima,9420,254.59,571,24.83,364,15.83,853,37.09,5300,230.43,189,8.22,70,3.04,215,9.35,472,20.52,13,0.57,756,32.87,554,24.09,1,0.25,20,5,1,0.14,2,0.29,26,3.71,-,-,57,8.14
Kagawa,13096,278.64,177,6.32,545,19.46,1487,53.11,6262,223.64,216,7.71,285,10.18,451,16.11,408,14.57,25,0.89,1024,36.57,587,20.96,1,0.2,60,12,2,0.4,6,1.2,111,22.2,1,0.2,150,30
Ehime,21145,346.64,477,12.89,397,10.73,3622,97.89,9899,267.54,393,10.62,200,5.41,667,18.03,738,19.95,19,0.51,1544,41.73,369,9.97,4,0.5,463,57.88,1,0.17,3,0.5,70,11.67,-,-,80,13.33
Kochi,14926,310.96,597,19.9,202,6.73,1826,60.87,4612,153.73,216,7.2,225,7.5,220,7.33,308,10.27,75,2.5,605,20.17,579,19.3,-,-,11,3.67,6,0.75,25,3.13,154,19.25,26,3.25,233,29.13
Fukuoka,82126,414.78,2985,24.88,2565,21.38,11878,98.98,28699,239.16,1931,16.09,528,4.4,1868,15.57,2586,21.55,104,0.87,2535,21.13,5238,43.65,13,0.5,871,33.5,21,1.5,84,6,750,53.57,1,0.07,25,1.79
Saga,12543,321.62,411,17.87,619,26.91,1390,60.43,2891,125.7,232,10.09,81,3.52,328,14.26,560,24.35,18,0.78,469,20.39,1770,76.96,-,-,88,22,2,0.33,9,1.5,115,19.17,-,-,61,10.17
Nagasaki,23942,346.99,649,14.75,560,12.73,3163,71.89,5651,128.43,559,12.7,134,3.05,384,8.73,609,13.84,8,0.18,311,7.07,1320,30,4,0.5,410,51.25,2,0.17,35,2.92,230,19.17,-,-,52,4.33
Kumamoto,22792,288.51,896,18.29,634,12.94,2303,47,12928,263.84,402,8.2,404,8.24,1367,27.9,1069,21.82,14,0.29,1303,26.59,2395,48.88,2,0.22,558,62,5,0.33,46,3.07,177,11.8,2,0.13,174,11.6
Oita,19668,339.1,623,17.31,555,15.42,4090,113.61,12915,358.75,726,20.17,164,4.56,672,18.67,836,23.22,39,1.08,1267,35.19,466,12.94,4,0.8,101,20.2,-,-,-,-,190,17.27,2,0.18,18,1.64
Miyazaki,21043,356.66,937,26.03,650,18.06,2945,81.81,10315,286.53,438,12.17,393,10.92,1016,28.22,1023,28.42,10,0.28,1185,32.92,3442,95.61,8,1.33,593,98.83,2,0.29,25,3.57,147,21,-,-,83,11.86
Kagoshima,35191,378.4,1578,28.69,1472,26.76,5281,96.02,13512,245.67,1040,18.91,1599,29.07,778,14.15,759,13.8,34,0.62,769,13.98,2922,53.13,-,-,317,45.29,3,0.25,12,1,119,9.92,-,-,126,10.5
Okinawa,26042,449,1506,44.29,506,14.88,1058,31.12,4034,118.65,531,15.62,1868,54.94,123,3.62,243,7.15,164,4.82,239,7.03,1849,54.38,12,1.33,281,31.22,23,3.29,54,7.71,309,44.14,1,0.14,67,9.57
