"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34th week, 2017",,,,,,"Data collected as of August 30, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,7348,198.59,138,6.27,310,14.09,2048,93.09,4138,188.09,190,8.64,1360,61.82,213,9.68,486,22.09,9,0.41,332,15.09,1059,48.14,-,-,3,1,2,0.25,12,1.5,59,7.38,-,-,47,5.88
Okayama,22082,262.88,267,4.94,795,14.72,1959,36.28,10832,200.59,476,8.81,4160,77.04,82,1.52,766,14.19,11,0.2,971,17.98,652,12.07,10,0.83,301,25.08,2,0.4,4,0.8,45,9,1,0.2,36,7.2
Hiroshima,26981,236.68,922,12.99,1442,20.31,5591,78.75,12336,173.75,759,10.69,6268,88.28,209,2.94,959,13.51,37,0.52,828,11.66,851,11.99,8,0.42,548,28.84,6,0.3,7,0.35,117,5.85,1,0.05,108,5.4
Yamaguchi,19662,289.15,1146,23.88,806,16.79,3591,74.81,7067,147.23,429,8.94,4112,85.67,133,2.77,862,17.96,29,0.6,1961,40.85,2506,52.21,-,-,272,30.22,5,0.56,2,0.22,107,11.89,1,0.11,88,9.78
Tokushima,8482,229.24,549,23.87,459,19.96,1520,66.09,4420,192.17,169,7.35,1395,60.65,75,3.26,540,23.48,7,0.3,608,26.43,571,24.83,1,0.25,23,5.75,-,-,1,0.17,10,1.67,-,-,12,2
Kagawa,9074,193.06,397,14.18,516,18.43,2052,73.29,7245,258.75,200,7.14,2802,100.07,63,2.25,476,17,15,0.54,641,22.89,871,31.11,2,0.4,86,17.2,3,0.6,5,1,73,14.6,-,-,154,30.8
Ehime,16520,270.82,858,23.19,528,14.27,3551,95.97,9959,269.16,377,10.19,3631,98.14,254,6.86,821,22.19,9,0.24,556,15.03,2074,56.05,-,-,522,65.25,2,0.33,1,0.17,53,8.83,-,-,31,5.17
Kochi,14647,305.15,400,13.33,282,9.4,1873,62.43,4042,134.73,422,14.07,2979,99.3,108,3.6,372,12.4,21,0.7,448,14.93,170,5.67,-,-,11,3.67,2,0.25,7,0.88,71,8.88,7,0.88,86,10.75
Fukuoka,72124,364.26,3179,26.49,2275,18.96,14567,121.39,32521,271.01,2156,17.97,10505,87.54,283,2.36,2697,22.48,87,0.73,6356,52.97,2638,21.98,-,-,575,22.12,35,2.33,26,1.73,329,21.93,-,-,52,3.47
Saga,12747,335.45,295,13.41,534,24.27,1511,68.68,3755,170.68,366,16.64,2504,113.82,41,1.86,554,25.18,7,0.32,984,44.73,180,8.18,-,-,62,20.67,5,0.83,8,1.33,33,5.5,1,0.17,124,20.67
Nagasaki,22497,321.39,751,17.07,391,8.89,4416,100.36,6336,144,367,8.34,2955,67.16,28,0.64,670,15.23,16,0.36,939,21.34,707,16.07,7,0.88,74,9.25,1,0.08,22,1.83,88,7.33,-,-,125,10.42
Kumamoto,24195,302.44,562,11.24,916,18.32,3596,71.92,13285,265.7,687,13.74,4775,95.5,86,1.72,1171,23.42,9,0.18,2360,47.2,962,19.24,5,0.56,412,45.78,15,1,31,2.07,82,5.47,-,-,124,8.27
Oita,20086,346.31,378,10.5,526,14.61,4158,115.5,14970,415.83,552,15.33,4220,117.22,35,0.97,869,24.14,19,0.53,1645,45.69,743,20.64,-,-,113,22.6,1,0.09,2,0.18,94,8.55,1,0.09,44,4
Miyazaki,23058,397.55,730,20.86,893,25.51,2844,81.26,11221,320.6,703,20.09,4988,142.51,296,8.46,1028,29.37,9,0.26,1740,49.71,313,8.94,3,0.6,373,74.6,-,-,1,0.14,24,3.43,1,0.14,114,16.29
Kagoshima,27582,299.8,1812,33.56,2422,44.85,3411,63.17,15536,287.7,728,13.48,3686,68.26,87,1.61,757,14.02,12,0.22,1542,28.56,3262,60.41,1,0.14,299,42.71,7,0.58,11,0.92,29,2.42,-,-,109,9.08
Okinawa,26371,462.65,2070,60.88,892,26.24,1169,34.38,5137,151.09,549,16.15,867,25.5,45,1.32,345,10.15,87,2.56,277,8.15,159,4.68,9,1,440,48.89,14,2,57,8.14,132,18.86,1,0.14,86,12.29
