"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2015",,,,,,"Data collected as of August 12, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Wakayama,9307,186.14,587,18.94,246,7.94,1083,34.94,3511,113.26,343,11.06,2542,82,190,6.13,389,12.55,5,0.16,964,31.1,88,2.84,2,0.5,34,8.5,8,0.73,5,0.45,49,4.45,3,0.27,76,6.91
Tottori,7340,253.1,73,3.84,218,11.47,3470,182.63,4105,216.05,162,8.53,1756,92.42,81,4.26,280,14.74,28,1.47,233,12.26,93,4.89,-,-,18,6,2,0.4,7,1.4,10,2,-,-,95,19
Shimane,8410,221.32,246,10.7,522,22.7,2584,112.35,4513,196.22,267,11.61,2061,89.61,67,2.91,444,19.3,3,0.13,86,3.74,255,11.09,1,0.33,31,10.33,2,0.25,26,3.25,46,5.75,1,0.13,75,9.38
Okayama,25541,307.72,291,5.39,386,7.15,2205,40.83,11689,216.46,609,11.28,3355,62.13,270,5,654,12.11,24,0.44,995,18.43,596,11.04,5,0.42,112,9.33,2,0.4,4,0.8,9,1.8,1,0.2,29,5.8
Hiroshima,29754,261,554,7.8,1344,18.93,6374,89.77,16386,230.79,879,12.38,3536,49.8,307,4.32,1084,15.27,43,0.61,1469,20.69,1637,23.06,12,0.63,412,21.68,2,0.1,21,1,120,5.71,4,0.19,117,5.57
Yamaguchi,22605,332.43,947,20.15,361,7.68,5304,112.85,10844,230.72,920,19.57,4190,89.15,292,6.21,1070,22.77,13,0.28,661,14.06,139,2.96,-,-,90,10,1,0.11,-,-,48,5.33,-,-,42,4.67
Tokushima,8476,229.08,455,19.78,281,12.22,964,41.91,4407,191.61,324,14.09,3052,132.7,47,2.04,542,23.57,9,0.39,223,9.7,38,1.65,-,-,12,3,3,0.43,3,0.43,25,3.57,-,-,29,4.14
Kagawa,10103,214.96,347,12.39,409,14.61,1458,52.07,5541,197.89,281,10.04,3268,116.71,305,10.89,490,17.5,21,0.75,658,23.5,138,4.93,4,0.8,42,8.4,1,0.2,7,1.4,107,21.4,2,0.4,66,13.2
Ehime,14715,241.23,657,17.76,254,6.86,3828,103.46,10714,289.57,428,11.57,1565,42.3,156,4.22,808,21.84,13,0.35,2019,54.57,421,11.38,1,0.13,383,47.88,1,0.17,3,0.5,10,1.67,-,-,16,2.67
Kochi,15318,319.13,445,14.83,111,3.7,1947,64.9,4537,151.23,357,11.9,1420,47.33,101,3.37,427,14.23,10,0.33,558,18.6,528,17.6,-,-,11,3.67,9,1.13,7,0.88,145,18.13,31,3.88,63,7.88
Fukuoka,66329,334.99,2936,24.47,2104,17.53,14043,117.03,31448,262.07,2431,20.26,12627,105.23,3574,29.78,3018,25.15,101,0.84,6206,51.72,3167,26.39,16,0.62,772,29.69,19,1.27,45,3,61,4.07,-,-,30,2
Saga,12760,335.79,446,19.39,293,12.74,1590,69.13,4323,187.96,439,19.09,2486,108.09,501,21.78,563,24.48,8,0.35,908,39.48,1224,53.22,-,-,20,5,2,0.33,9,1.5,66,11,-,-,84,14
Nagasaki,21854,316.72,738,16.77,322,7.32,3864,87.82,8282,188.23,467,10.61,3377,76.75,829,18.84,650,14.77,8,0.18,454,10.32,1105,25.11,19,2.38,133,16.63,7,0.58,31,2.58,115,9.58,-,-,85,7.08
Kumamoto,26129,326.61,707,14.14,517,10.34,2090,41.8,15273,305.46,804,16.08,5075,101.5,342,6.84,1258,25.16,21,0.42,1444,28.88,734,14.68,-,-,565,62.78,2,0.13,26,1.73,66,4.4,-,-,75,5
Oita,22728,391.86,533,14.81,399,11.08,3228,89.67,15192,422,1059,29.42,3182,88.39,1328,36.89,1021,28.36,29,0.81,1715,47.64,609,16.92,-,-,211,42.2,1,0.09,3,0.27,41,3.73,-,-,52,4.73
Miyazaki,25628,434.37,1267,35.19,888,24.67,2468,68.56,11059,307.19,872,24.22,4000,111.11,117,3.25,1110,30.83,16,0.44,1737,48.25,267,7.42,4,0.67,417,69.5,-,-,8,1.14,1,0.14,1,0.14,33,4.71
Kagoshima,32727,351.9,1369,24.89,1175,21.36,6711,122.02,15726,285.93,915,16.64,5555,101,1199,21.8,871,15.84,56,1.02,1789,32.53,392,7.13,1,0.14,123,17.57,3,0.25,2,0.17,26,2.17,-,-,27,2.25
Okinawa,28977,499.6,1579,46.44,505,14.85,1357,39.91,2903,85.38,828,24.35,2191,64.44,200,5.88,397,11.68,116,3.41,264,7.76,3081,90.62,16,1.6,245,24.5,23,3.29,70,10,76,10.86,4,0.57,75,10.71
