"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2015",,,,,,"Data collected as of October 21, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Hiroshima,29809,261.48,1481,20.86,1504,21.18,7538,106.17,18907,266.3,1030,14.51,5872,82.7,534,7.52,1430,20.14,70,0.99,2094,29.49,2477,34.89,13,0.72,667,37.06,3,0.14,30,1.43,193,9.19,7,0.33,117,5.57
Yamaguchi,22608,332.47,1679,35.72,448,9.53,6399,136.15,12220,260,1010,21.49,5687,121,462,9.83,1359,28.91,16,0.34,1101,23.43,235,5,-,-,200,22.22,3,0.33,2,0.22,85,9.44,-,-,42,4.67
Tokushima,8488,229.41,866,37.65,334,14.52,1148,49.91,5331,231.78,394,17.13,4165,181.09,81,3.52,716,31.13,11,0.48,412,17.91,95,4.13,-,-,16,4,3,0.43,3,0.43,29,4.14,-,-,30,4.29
Kagawa,10109,215.09,454,16.21,546,19.5,1705,60.89,6428,229.57,335,11.96,4503,160.82,418,14.93,665,23.75,31,1.11,932,33.29,203,7.25,7,1.4,70,14,1,0.2,10,2,154,30.8,3,0.6,66,13.2
Ehime,14757,241.92,903,24.41,312,8.43,4561,123.27,12234,330.65,519,14.03,2995,80.95,230,6.22,1087,29.38,18,0.49,2343,63.32,564,15.24,1,0.13,524,65.5,2,0.33,3,0.5,19,3.17,-,-,16,2.67
Kochi,15324,319.25,875,29.17,132,4.4,2253,75.1,4983,166.1,450,15,2395,79.83,155,5.17,537,17.9,13,0.43,951,31.7,646,21.53,-,-,14,4.67,9,1.13,13,1.63,238,29.75,38,4.75,63,7.88
Fukuoka,66412,335.41,5104,42.53,2819,23.49,16260,135.5,36433,303.61,2779,23.16,17023,141.86,4410,36.75,3926,32.72,123,1.03,6966,58.05,4639,38.66,29,1.12,1488,57.23,25,1.67,79,5.27,215,14.33,2,0.13,30,2
Saga,12771,336.08,695,30.22,361,15.7,1756,76.35,4702,204.43,495,21.52,3295,143.26,659,28.65,711,30.91,8,0.35,1113,48.39,1770,76.96,-,-,54,13.5,4,0.67,14,2.33,132,22,-,-,84,14
Nagasaki,21902,317.42,1119,25.43,408,9.27,4565,103.75,9117,207.2,569,12.93,4234,96.23,1203,27.34,834,18.95,10,0.23,647,14.7,1669,37.93,19,2.38,349,43.63,7,0.58,37,3.08,182,15.17,-,-,85,7.08
Kumamoto,26138,326.73,1095,21.9,645,12.9,2575,51.5,18355,367.1,864,17.28,6379,127.58,741,14.82,1617,32.34,24,0.48,1938,38.76,1103,22.06,-,-,1179,131,3,0.2,45,3,144,9.6,-,-,75,5
Oita,22738,392.03,1144,31.78,551,15.31,3913,108.69,17670,490.83,1176,32.67,5333,148.14,2046,56.83,1348,37.44,40,1.11,2218,61.61,771,21.42,-,-,249,49.8,1,0.09,5,0.45,80,7.27,-,-,52,4.73
Miyazaki,25637,434.53,2083,57.86,1075,29.86,3001,83.36,13640,378.89,1050,29.17,5702,158.39,245,6.81,1484,41.22,16,0.44,2088,58,508,14.11,5,0.83,692,115.33,1,0.14,12,1.71,10,1.43,1,0.14,34,4.86
Kagoshima,32797,352.66,2017,36.67,1451,26.38,7773,141.33,18881,343.29,1106,20.11,6567,119.4,1857,33.76,1213,22.05,70,1.27,1974,35.89,594,10.8,1,0.14,248,35.43,4,0.33,3,0.25,60,5,-,-,27,2.25
Okinawa,30184,520.41,1801,52.97,771,22.68,1667,49.03,3889,114.38,923,27.15,2363,69.5,302,8.88,506,14.88,155,4.56,385,11.32,3806,111.94,28,2.8,360,36,33,4.71,82,11.71,125,17.86,6,0.86,76,10.86
