"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2017",,,,,,"Data collected as of January 25, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shimane,1319,34.71,28,1.22,21,0.91,127,5.52,474,20.61,33,1.43,23,1,42,1.83,38,1.65,3,0.13,-,-,97,4.22,-,-,1,0.33,-,-,3,0.38,15,1.88,-,-,-,-
Okayama,5209,62.01,56,1.04,67,1.24,99,1.83,1108,20.52,30,0.56,59,1.09,14,0.26,43,0.8,2,0.04,5,0.09,78,1.44,-,-,10,0.83,-,-,1,0.2,15,3,1,0.2,1,0.2
Hiroshima,7100,61.74,125,1.74,109,1.51,268,3.72,1120,15.56,124,1.72,51,0.71,50,0.69,66,0.92,2,0.03,6,0.08,90,1.25,1,0.05,52,2.74,1,0.05,-,-,31,1.55,-,-,4,0.2
Yamaguchi,3393,49.9,117,2.44,61,1.27,185,3.85,662,13.79,68,1.42,28,0.58,28,0.58,72,1.5,-,-,4,0.08,338,7.04,-,-,16,1.78,1,0.11,-,-,27,3,-,-,2,0.22
Tokushima,2016,54.49,90,3.91,27,1.17,60,2.61,534,23.22,25,1.09,28,1.22,13,0.57,41,1.78,2,0.09,4,0.17,59,2.57,-,-,2,0.5,-,-,-,-,4,0.57,-,-,1,0.14
Kagawa,2278,48.47,40,1.43,50,1.79,92,3.29,706,25.21,19,0.68,18,0.64,14,0.5,31,1.11,-,-,14,0.5,119,4.25,-,-,7,1.4,-,-,-,-,15,3,-,-,3,0.6
Ehime,3410,55.9,59,1.59,20,0.54,175,4.73,1328,35.89,33,0.89,30,0.81,37,1,51,1.38,-,-,4,0.11,145,3.92,-,-,31,3.88,1,0.17,-,-,11,1.83,-,-,-,-
Kochi,2554,53.21,72,2.4,12,0.4,118,3.93,612,20.4,59,1.97,8,0.27,16,0.53,22,0.73,3,0.1,-,-,25,0.83,-,-,4,1.33,1,0.13,-,-,16,2,1,0.13,3,0.38
Fukuoka,12020,60.71,259,2.16,150,1.25,830,6.92,3651,30.43,245,2.04,159,1.33,21,0.18,191,1.59,8,0.07,20,0.17,311,2.59,-,-,47,1.81,2,0.13,3,0.2,54,3.6,-,-,-,-
Saga,2005,51.41,71,3.09,47,2.04,132,5.74,422,18.35,17,0.74,45,1.96,4,0.17,32,1.39,-,-,1,0.04,33,1.43,-,-,19,4.75,2,0.33,-,-,8,1.33,-,-,-,-
Nagasaki,2473,35.33,55,1.25,22,0.5,374,8.5,775,17.61,62,1.41,56,1.27,4,0.09,56,1.27,5,0.11,5,0.11,100,2.27,-,-,13,1.63,-,-,-,-,14,1.17,-,-,1,0.08
Kumamoto,3782,47.28,78,1.56,55,1.1,201,4.02,1967,39.34,135,2.7,107,2.14,9,0.18,88,1.76,-,-,40,0.8,168,3.36,1,0.11,50,5.56,1,0.07,-,-,21,1.4,-,-,3,0.2
Oita,3668,63.24,51,1.42,32,0.89,264,7.33,2117,58.81,88,2.44,6,0.17,-,-,55,1.53,-,-,4,0.11,50,1.39,-,-,10,2,-,-,-,-,14,1.27,-,-,3,0.27
Miyazaki,4068,68.95,81,2.25,59,1.64,170,4.72,1527,42.42,107,2.97,75,2.08,85,2.36,66,1.83,-,-,7,0.19,37,1.03,1,0.2,26,5.2,-,-,-,-,6,0.86,-,-,2,0.29
Kagoshima,3840,41.29,101,1.84,102,1.85,203,3.69,1662,30.22,100,1.82,113,2.05,10,0.18,51,0.93,1,0.02,17,0.31,364,6.62,-,-,8,1.14,-,-,-,-,4,0.33,-,-,-,-
Okinawa,3259,56.19,23,0.68,26,0.76,89,2.62,648,19.06,41,1.21,2,0.06,4,0.12,30,0.88,6,0.18,5,0.15,12,0.35,-,-,22,2.44,-,-,4,0.57,16,2.29,-,-,-,-
